GEF ID,Lead GEF Agency,Country,Geographic Scope,Project title,Project Short Title,Task Manager,Project Type,Current Project  Status,Focal Area_A,Subprogramme,PIF/Council Approval Date,Date of full project submission to GEF Secretariat,PPG  CEO Approval,UNEP signature date      (PPG),Expected/ Actual Completion date PPG,PPG WBSE,Project Preparation Grant (PPG),  Project CEO Approval/Endorsement Date,UNEP signature date  (Project),Date of latest signature date on the umbrella legal instrument,Expected Technical Completion date (Project),Revised Technical Completion date (Project),Actual Technical Completion date (Project),Expected Completion date (Validity of the LA),Number of Amendments to LA,Actual Completion date (Validity of the LA),Project WBSE,S1 Grant Code,P1 Grant Code,Project  Grant ,  Co-financing Amount ,  PA focal point  , FMO , FA Focal Point , Project mid-term review/evaluation status , Project terminal evaluation status  , Date of project financial closure , Fund , Branch , Comments  ,Technical completion date, Corporate Services(AG_Fee) , Project Cycle Activities(AG_Fee) , Portfolio_Total(AG_Fee) 
4259,UNEP,Global,Global,The GEF Earth Fund: Conservation Agreement Private Partnership Platform (CAPPP),CAPPP,Ersin Esen,FSP,Technically Completed,Multi-focal Areas(BD/LD/CCM),Ecosystem Management,01-Apr-09,,01-Apr-09,,,,$0.00,03-Apr-14,30-Sep-14,18-Jul-14,30-Jun-20,,,31-Dec-20,1,,SB-000768.03.01, S1-32GFL-000557 ,P1-33GFL-000531,"$5,000,000"," 15,000,000 ",Aska Ochiel ,George Saddimbah,Weldon Lemein,Completed,N/A,,GFL,Biodiversity and Land Branch (BLB),,06/30/2020," 50,000 "," 450,000 "," 500,000 "
4464,UNEP,Nepal,Asia Pacific, Integrating Traditional Crop Genetic Diversity into Technology Using a BD Portfolio Approach to Buffer Against Unpredictable Environmental Change in the Nepal Himalayas,BD Nepal,Johan Robinson,FSP,Technically Completed,Biodiversity,Ecosystem Management,26-May-11,,30-Mar-11,15-Jul-11,,,"$100,000.00",08-Apr-13,15-Nov-13,31-Oct-13,30-Sep-19,31-Mar-20,,30-Sep-20,2,,SB-000687.13.01, S1-32GFL-000264 ,P1-33GFL-000199,"$2,300,000"," 5,831,104 ",Peerayot Sidonrusmee,Janet Bwiza,Serah Shaiya,,N/A,,GFL,Biodiversity and Land Branch (BLB),Under closure,03/31/2020," 23,000 "," 207,000 "," 230,000 "
4513,UNEP,"Global (Benin, Bhutan, Central African Republic, Cape Verde, Djibouti, Dominica, Grenada, Gambia,Equatorial Guinea, Guyana, Cambodia, St. Kitts and Nevis, Lao PDR, Liberia, Madagascar, Mauritania,Maldives, Malawi, Nepal, Niue, Palau, Rwanda, Solomon Islands, Togo, Tonga, Uganda, St. Vincent andGrenadines, Vanuatu, Zambia, Congo DR)",Global, Support to GEF Eligible Parties (LDCs & SIDs) for the Revision of the NBSAPs and Development of Fifth National Report to the CBD - Phase 1 ,Umbrella NBSAP  Phase 1 ,Jane Nimpamya,FSP,Under Implementation,Biodiversity,Ecosystem Management,09-Nov-11,,,,,,$0.00,19-Jan-12,26-Mar-12,26-Mar-12,31-Dec-17,31-Dec-21,30-Jun-22,30-Jun-22,1,30-Jun-22,"SB-000760.02.42,SB-000760.02.33,SB-000760.02.14,SB-000760.02.69,SB-000760.02.50,SB-000760.02.04,SB-000760.02.61,SB-000760.02.40,SB-000760.02.31,SB-000760.02.38,SB-000760.02.49,SB-000760.02.18,SB-000760.02.53,SB-000760.02.17,SB-000760.02.54,SB-000760.02.07,SB-000760.02.34,SB-000760.02.43,SB-000760.02.85,SB-000760.02.19,SB-000760.02.32,SB-000760.02.10,SB-000760.02.84,SB-000760.02.22,SB-000760.02.37,SB-000760.02.08,SB-000760.02.81,SB-000760.02.46,SB-000760.02.24,SB-000760.02.13,SB-000760.02.71,SB-000760.02.57,SB-000760.02.60,SB-000760.02.83", S1-32GFL-000367 ,"P1-33GFL-000273,P1-33GFL-000256,P1-33GFL-000278,P1-33GFL-000300,P1-33GFL-000297,P1-33GFL-000223,P1-33GFL-000329,P1-33GFL-000266,P1-33GFL-000261,P1-33GFL-000264,P1-33GFL-000313,P1-33GFL-000283,P1-33GFL-000316,P1-33GFL-000259,P1-33GFL-000293,P1-33GFL-000228,P1-33GFL-000302,P1-33GFL-000290,P1-33GFL-000239,P1-33GFL-000304,P1-33GFL-000270,P1-33GFL-000289,P1-33GFL-000262,P1-33GFL-000265,P1-33GFL-000281,P1-33GFL-000247,P1-33GFL-000275,P1-33GFL-000233,P1-33GFL-000321,P1-33GFL-000327","$6,798,000"," 6,650,000 ",Evelyn Machasio,George Saddimbah,Michael Atogoh,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),,06/30/2022," 67,980 "," 611,820 "," 679,800 "
4523,UNEP,"Regional (Angola, Benin, Botswana,Burkina Faso, Burundi, Cameroon,Cape Verde, Central African Republic, Chad, Comoros, Congo Democratic Republic, Congo, Djibouti, Eritrea, Ethiopia, Gabon, Gambia, Ghana, Guinea, Guinea Bissau, Kenya,Lesotho, Liberia, Madagascar, Malawi, Mali, Mauritius, Mozambique, Namibia, Niger,Nigeria, Rwanda, Senegal, Seychelles, Somalia,South Africa, Swaziland, Togo, Uganda, United Republic of Tanzania,  Zambia, Zimbabwe)",Africa,Support to Preparation of the Second National Biosafety Reports to the Cartagena Protocol on Biosafety-Africa,NR2-Africa Region,Alex Owusu-Biney,EA,Completed,Biodiversity,Ecosystem Management,16-May-11,,,,,,$0.00,16-May-11,10-Jun-11,10-Jun-11,30-Jun-12,30-Sep-12,30-Sep-12,30-Jun-12,2,31-Dec-12,SB-000819.53, S1-32GFL-000245 ,,"$993,950"," 840,000 ",Caroline Mramba,Lydia Eibl-Kamolleh,Caroline Nelima,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),42 Countries,09/30/2012," 9,940 "," 89,456 "," 99,395 "
4524,UNEP,Global,"Global (North Africa, Asia, Central & Eastern Europe)","Support to Preparation of the Second National Biosafety Reports to the Cartagena Protocol on Biosafety-North Africa (NA), Asia (A), Central and Eastern Europe (CEE)",NR2-North Africa & CEE,Alex Owusu-Biney,EA,Completed,Biodiversity,Ecosystem Management,16-May-11,,,,,,$0.00,16-May-11,10-Jun-11,10-Jun-11,30-Jun-12,30-Sep-12,30-Sep-12,30-Jun-12,2,31-Dec-12,SB-000687.10, S1-32GFL-000248 ,,"$970,775"," 820,000 ",Caroline Mramba,Lydia Eibl-Kamolleh,Caroline Nelima,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),30 Countries,09/30/2012," 9,708 "," 87,370 "," 97,078 "
4525,UNEP,Regional,Latin America and the Caribbean,"Support to Preparation of the Second National Biosafety Reports to the Cartagena Protocol on Biosafety-:Latin America, Caribbean and Pacific Regions","NR2-Latin A, Carribean & Pacific",Alex Owusu-Biney,EA,Completed,Biodiversity,Ecosystem Management,16-May-11,,,,,,$0.00,16-May-11,10-Jun-11,10-Jun-11,30-Jun-12,30-Sep-12,30-Jun-12,08-Jun-12,,31-Dec-12,SB-000687.09,S1-32GFL-000243,,"$924,425"," 780,000 ",Caroline Mramba,Lydia Eibl-Kamolleh,Caroline Nelima,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),39 Countries ,09/30/2012," 9,244 "," 83,198 "," 92,443 "
4549,UNEP,Kenya,Africa,Support to Kenya for the Revision of the NBSAPs and Development of Fifth National Report to the CBD,Kenya -Support to Kenya for the Revision of the NBSAPs and Development of Fifth National Report to the CBD,Jane Nimpamya,EA,Completed,Biodiversity,Ecosystem Management,15-Sep-11,,,,,,$0.00,15-Sep-11,12-Mar-13,30-May-17,28-Feb-17,31-Dec-20,30-Jun-21,30-Jun-21,3,30-Jun-21,SB-000760.02.35,S1-32GFL-000367,P1-33GFL-000307,"$290,909"," 400,000 ",Evelyn Machasio,George Saddimbah,Michael Atogoh,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),,06/30/2021," 2,909 "," 26,182 "," 29,091 "
4587,UNEP,Iraq,West Asia,First NBSAP for Iraq and Development of Fifth National Report to the CBD,Iraq - First NBSAP for Iraq and Development of Fifth National Report to the CBD,Jane Nimpamya,EA,Technically Completed,Biodiversity,Ecosystem Management,10-Nov-11,,,,,,$0.00,10-Nov-11,31-May-12,24-Sep-19,30-Jun-14,30-Jun-14,30-Sep-15,30-Sep-15,,31-Dec-14,SB-000760.02.28,S1-32GFL-000367,P1-33GFL-000301,"$368,363"," 450,000 ",Evelyn Machasio,George Saddimbah,Michael Atogoh,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),,09/30/2015," 3,684 "," 33,153 "," 36,836 "
4618,UNEP,Guatemala,Latin America and the Caribbean,Access to and Benefit Sharing and Protection of Traditional Knowledge to Promote Biodiversity Conservation and Sustainable Use in Guatemala,Guatemala/ABS,Thais Narciso,MSP,Completed,Biodiversity,Ecosystem Management,20-Oct-11,,20-Oct-11,06-Feb-12,24-Feb-14,,"$34,590.00",28-May-13,30-Jan-14,20-Nov-13,31-May-16,31-Jul-18,30-Nov-18,31-Jan-18,1,31-Dec-18,SB-000689.06,S1-32GFL-000429,P1-33GFL-000439,"$874,500"," 972,014 ",Gloritzel Frangakis ,Michael Atogoh,Lilian Musyoka,Completed,Completed,,GFL,Biodiversity and Land Branch (BLB),,11/30/2018," 8,745 "," 78,705 "," 87,450 "
4623,UNEP,"Global (Afghanistan, Antiqua and Barbuda, Angola, Barbados, Burkina Faso, Burundi, Dominican Republic, Ethiopia, Guinea-Bissau, Haiti, Kiribati, Comoros, St Lucia, Lesotho, Marshall Islands, Mali, Myanmar, Mozambique, Niger, Nauru, Sierra Leone, Senegal, Sao Tome and Principe, Chad, Timor Leste, Tanzania, Samoa)",Global,Support to GEF Eligible Parties (LDCs & SIDs) for the Revision of the NBSAPs and Development of Fifth National Report to the CBD - Phase II,Umbrella NBSAP  Phase 2 ,Jane Nimpamya,FSP,Under Implementation,Biodiversity,Ecosystem Management,09-Nov-11,,,,,,$0.00,08-Feb-12,22-Mar-12,22-Mar-12,31-Dec-18,31-Dec-21,31-Dec-23,30-Jun-22,1,30-Jun-22,"SB-015083.01,SB-000760.02.29,SB-000760.02.45,SB-000760.02.76,SB-000760.02.70,SB-000760.02.21,SB-000760.02.26,SB-000760.02.58,SB-000760.02.89,SB-000760.02.89.01,SB-000760.02.36,SB-000760.02.73,SB-000760.02.79,SB-000760.02.16,SB-000760.02.77,SB-000760.02.51,SB-000760.02.15,SB-000760.02.74,SB-000760.02.64,SB-000760.02.68,SB-000760.02.11,SB-000760.02.72,SB-000760.02.23,SB-000760.02.47,SB-000760.02.12,SB-000760.02.39,SB-000760.02.67,SB-000760.02.63",S1-32GFL-000367,"P1-33GFL-000250,P1-33GFL-000312,P1-33GFL-000610,P1-33GFL-000314,P1-33GFL-000244,P1-33GFL-000295,P1-33GFL-000322,P1-33GFL-000310,P1-33GFL-000306,P1-33GFL-000604,P1-33GFL-000237,P1-33GFL-000611,P1-33GFL-000315,P1-33GFL-000280,P1-33GFL-000252,P1-33GFL-000308,P1-33GFL-000299,P1-33GFL-000231,P1-33GFL-000318,P1-33GFL-000291,P1-33GFL-000287,P1-33GFL-000271,P1-33GFL-000268,P1-33GFL-000242,P1-33GFL-000330,S1-32GFL-000367","$6,118,200"," 5,513,637 ",Evelyn Machasio,George Saddimbah,Michael Atogoh,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),,12/31/2023," 61,182 "," 550,638 "," 611,820 "
4634,UNEP,Ukraine,Europe,"Conserving, Enhancing and Managing Carbon Stocks and Biodiversity while Promoting Sustainable Development in the Chernobyl Exclusion Zone through the Establishment of a Research and Environmental Protection Centre and Protected Area",Chernobyl FSP,Ersin Esen,FSP,Under Implementation,Multi-focal Areas(BD/LD/CCM),Ecosystem Management,09-Nov-11,,24-Jan-12,04-Apr-12,,SB-000687.37,"$181,818.00",12-Dec-14,16-Mar-15,16-Mar-15,31-Dec-18,30-Jun-22,30-Jun-22,31-Dec-22,2,,SB-000687.37,S1-32GFL-000370,"P1-33GFL-001255, P1-33GFL-001254, P1-33GFL-001144, P1-33GFL-001119, P1-33GFL-001112, P1-33GFL-000788, P1-33GFL-001253","$4,863,955"," 28,340,000 ",Aska Ochiel ,George Saddimbah,Weldon Lemein,Under Implementation,,,GFL,Biodiversity and Land Branch (BLB),,06/30/2022," 48,640 "," 437,756 "," 486,396 "
4660,FAO and UNEP,Global,Global,ABNJ: Sustainable Fisheries Management and Biodiversity Conservation of Deep-sea Living Marine Resources and Ecosystems in the Areas Beyond National Jurisdiction (ABNJ),ABNJ,Victoria Luque ,FSP,Technically Completed,Multi-focal Areas(IW/BD),Ecosystem Management,07-Jun-12,,15-Jan-13,27-May-13,30-Sep-13,SB-000689.01,"$76,500.00",10-Jun-14,03-Apr-15,03-Apr-15,,30-Sep-19,,30-Apr-20,,,"SB-001178.01, SB-001178.02, SB-001178.03",S1-32GFL-000425,P1-33GFL-001254,"$7,315,597"," 79,558,500 ",Aska Ochiel ,George Saddimbah,Weldon Lemein,,,,GFL,Biodiversity and Land Branch (BLB),,09/30/2019," 73,156 "," 658,404 "," 731,560 "
4663,UNEP,Mongolia ,Asia Pacific,Support to Mongolia for the Revision of the NBSAPs and Development of fifth National Report to the CBD ,Mongolia (SC) - Support to Mongolia for the Revision of the NBSAPs and Development of Fifth National Report to the CBD,Jane Nimpamya,EA,Technically Completed,Biodiversity ,Ecosystem Management,02-Apr-12,,,,,,$0.00,02-Apr-12,10-May-12,24-Apr-12,30-Jun-14,30-Jun-14,31-Dec-14,31-Dec-14,,31-Dec-14,SB-000760.02.06,S1-32GFL-000367,P1-33GFL-000258,"$220,000"," 254,000 ",Evelyn Machasio,George Saddimbah,Michael Atogoh,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),,12/31/2014," 2,200 "," 19,800 "," 22,000 "
4666,UNEP,Kyrgz Republic ,Asia Pacific,Support to the Kyrgztan for the revision of NBSAPs and development of Fifth national report to the CBD ,Kyrgyzstan - Support to the Kyrgztan for the revision of NBSAPs and development of Fifth national report to the CBD ,Jane Nimpamya,EA,Technically Completed,Biodiversity,Ecosystem Management,20-Dec-11,,,,,,$0.00,20-Dec-11,27-Apr-12,27-Apr-12,30-Jun-14,30-Jun-15,31-Dec-15,31-Dec-15,1,31-Dec-15,SB-000760.02.30,S1-32GFL-000367,P1-33GFL-000253,"$220,000"," 272,000 ",Evelyn Machasio,George Saddimbah,Michael Atogoh,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),,12/31/2015," 2,200 "," 19,800 "," 22,000 "
4670,UNEP,Namibia,Africa,Support to NAMIBIA for the Revision of the NBSAPs and Development of Fifth National Report to the CBD,Namibia - Support to NAMIBIA for the Revision of the NBSAPs and Development of Fifth National Report to the CBD,Jane Nimpamya,EA,Technically Completed,Biodiversity,Ecosystem Management,21-Nov-11,,,,,,$0.00,21-Nov-11,19-Feb-12,07-Feb-12,30-Jun-14,30-Jun-14,31-Dec-14,31-Dec-14,,31-Dec-14,SB-000760.02.05,S1-32GFL-000367,P1-33GFL-000255,"$220,000"," 395,000 ",Evelyn Machasio,George Saddimbah,Michael Atogoh,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),,12/31/2014," 2,200 "," 19,800 "," 22,000 "
4671,UNEP,Nigeria,Africa,Support to Nigeria for the Revision of the NBSAPs and Development of Fifth National ,Nigeria - Support to Nigeria for the Revision of the NBSAPs and Development of Fifth National Report to the CBD,Jane Nimpamya,EA,Technically Completed,Biodiversity,Ecosystem Management,21-Dec-11,,,,,,$0.00,21-Dec-11,02-Apr-12,09-Feb-12,30-Jun-14,30-Jun-14,31-Dec-15,31-Dec-15,1,31-Dec-14,SB-000760.02.41,S1-32GFL-000367,P1-33GFL-000311,"$220,000"," 219,000 ",Evelyn Machasio,George Saddimbah,Michael Atogoh,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),,12/31/2015," 2,200 "," 19,800 "," 22,000 "
4674,UNEP,Cameroon,Africa,Support to Cameroon for the Revision of the NBSAPs and Development of Fifth National Report to the CBD,Cameroon - Support to Cameroon for the Revision of the NBSAPs and Development of Fifth National Report to the CBD,Jane Nimpamya,EA,,Biodiversity,,,,,,,,,,,,,,,,,,SB-000760.02.48,S1-32GFL-000367,P1-33GFL-000285,"$205,750"," 230,000 ",,George Saddimbah,Michael Atogoh,,,,GFL,,,12/30/1899," 2,058 "," 18,518 "," 20,575 "
4681,UNEP,Bahrain,Asia Pacific,Support to Bahrain for the revision of the NBSAPs and development of fifth National report to the CBD,Bahrain - Support to Bahrain for the Revision of the NBSAPs and Development of Fifth National Report to the CBD,Jane Nimpamya,EA,Technically Completed,Biodiversity,Ecosystem Management,19-Dec-11,,,,,,$0.00,20-Dec-11,04-Dec-12,18-Nov-12,30-Jun-14,30-Jun-14,31-Dec-16,31-Oct-16,2,31-Dec-14,SB-000760.02.56,S1-32GFL-000367,P1-33GFL-000294,"$190,000"," 240,000 ",Evelyn Machasio,George Saddimbah,Michael Atogoh,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),,12/31/2016," 1,900 "," 17,100 "," 19,000 "
4684,UNEP,Swaziland,Africa,Support to Swaziland for the Revision of the NBSAPs and Development of Fifth National ,Swaziland - Support to Swaziland for the Revision of the NBSAPs and Development of Fifth National Report to the CBD,Jane Nimpamya,EA,Technically Completed,Biodiversity,Ecosystem Management,05-Jan-12,,,,,,$0.00,05-Jan-12,27-Apr-12,30-Mar-12,30-Jun-14,30-Jun-14,31-Dec-15,31-Dec-15,1,31-Dec-15,SB-000760.02.09,S1-32GFL-000367,P1-33GFL-000236,"$220,000"," 264,000 ",Evelyn Machasio,George Saddimbah,Michael Atogoh,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),,12/31/2015," 2,200 "," 19,800 "," 22,000 "
4685,UNEP,Macedonia,Europe,Support for the Revision of the NBSAPs and Development of Fifth National Report to the CBD ,Macedonia - Support for the Revision of the NBSAPs and Development of Fifth National Report to the CBD,Jane Nimpamya,EA,Technically Completed,Biodiversity,Ecosystem Management,01-Mar-12,,,,,,$0.00,01-Mar-12,16-Nov-12,05-Dec-12,,15-Dec-14,15-Dec-14,15-Dec-14,,15-Dec-14,SB-000760.02.65,S1-32GFL-000367,P1-33GFL-000490,"$220,000",212000,Evelyn Machasio,George Saddimbah,Michael Atogoh,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),,12/15/2014," 2,200 "," 19,800 "," 22,000 "
4687,UNEP,Gabon ,Africa,Support to Gabon for the revision of the NBSAPs and development of fifth National report to the CBD,Gabon - Support to Gabon for the Revision of the NBSAPs and Development of Fifth National Report to the CBD,Jane Nimpamya,EA,Technically Completed,Biodiversity,Ecosystem Management,19-Dec-11,,,,,,$0.00,19-Dec-11,02-Apr-12,19-Mar-12,30-Jun-14,31-Dec-19,31-Dec-19,31-Dec-19,2,30-Jun-21,SB-000760.02.78,S1-32GFL-000367,P1-33GFL-000612,"$220,000"," 224,000 ",Evelyn Machasio,George Saddimbah,Michael Atogoh,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),,12/31/2019," 2,200 "," 19,800 "," 22,000 "
4693,UNEP,Cote d'Ivoire,Africa,support to CA te ivoire for the revision of the NBSAPs and development of Fifth National report to the CBD,C�te d'Ivoire - Support to C�te d'Ivoire for the Revision of the NBSAPs and Development of Fifth National Report to the CBD,Jane Nimpamya,EA,Technically Completed,Biodiversity,Ecosystem Management,20-Dec-11,,,,,,$0.00,20-Dec-11,06-Jun-12,20-Feb-12,30-Jun-14,30-Jun-14,30-Jun-15,30-Jun-15,1,30-Jun-15,SB-000760.02.52,S1-32GFL-000367,P1-33GFL-000288,"$220,000"," 248,000 ",Evelyn Machasio,George Saddimbah,Michael Atogoh,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),,06/30/2015," 2,200 "," 19,800 "," 22,000 "
4694,UNEP,Tajikistan,Asia Pacific,Support for the Revision of the NBSAPs and Development of Fifth National Report to the CBD ,Takijistan - Support for the Revision of the NBSAPs and Development of Fifth National Report to the CBD,Jane Nimpamya,EA,Technically Completed,Biodiversity,Ecosystem Management,21-Mar-12,,,,,,$0.00,21-Mar-12,07-Nov-12,08-Jan-14,30-Jun-14,30-Jun-14,31-Dec-14,31-Dec-14,,31-Dec-14,SB-000760.02.27,S1-32GFL-000367,P1-33GFL-000249,"$220,000"," 234,000 ",Evelyn Machasio,George Saddimbah,Michael Atogoh,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),,12/31/2014," 2,200 "," 19,800 "," 22,000 "
4695,UNEP,Bosnia-Herzegovina,Europe,Support to Bosnia and Herzegovina for the Revision of the NBSAPs and Development of Fifth National Report to the CBD,Bosnia and Herzegovina - Support to Bosnia and Herzegovina for the Revison of the NBSAPs and Development of Fifth National Report to the CBD,Jane Nimpamya,EA,Technically Completed,Biodiversity,Ecosystem Management,27-Mar-12,,,,,,$0.00,27-Mar-12,16-Nov-12,18-Oct-12,30-Jun-14,30-Jun-14,31-Dec-14,31-Dec-14,,31-Dec-14,,S1-32GFL-000367,,"$220,000"," 190,000 ",Evelyn Machasio,George Saddimbah,Michael Atogoh,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),,12/31/2014," 2,200 "," 19,800 "," 22,000 "
4739,UNEP,Cameroon,Africa,"Participative Integrated Ecosystem Services Management Plans for Bakassi Post Conflict EcosystemsPINESMAP BPCE",PINESMAP - Bakasi Cameroon,Adamou Bouhari,FSP,Under Implementation,Biodiversity,Ecosystems Management,21-Mar-14,05-Oct-16,05-Feb-14,13-Jun-14,30-Jun-15,SB-000690.01,"$86,758.00",03-Feb-17,10-May-17,23-May-17,30-Apr-22,30-Apr-22,,30-Apr-22,1,30-Apr-23,SB-006681,S1-32GFL-000617,P1-33GFL-001114,"$2,652,968"," 13,600,000 ",Eric Mugo,George Saddimbah,Linda Choge,Not Completed,Pending,30-Apr-22,GFL,Biodiversity and Land Branch (BLB),,04/30/2022," 26,530 "," 238,767 "," 265,297 "
4750,UNEP,"Regional(Peru, Ecuador)",Latin America and the Caribbean,Multiplying environmental and carbon benefits in high Andean ecosystems,SFM Andes/FSP,Robert Erath,FSP,Completed,Multi-focal Areas(BD/LD/CCM),Ecosystem Management,07-Jun-12,,12-Jul-12,02-Oct-12,24-Dec-14,SB-000688.05,"$130,000.00",19-Mar-14,13-Jun-14,06-Jun-14,,31-Dec-18,30-Sep-20,30-Apr-19,1,31-Dec-20,SB-000688.05,S1-32GFL-000384,P1-33GFL-000339,"$4,796,364"," 16,159,826 ",Gloritzel Frangakis ,Janet Bwiza,Lilian Musyoka,Completed,Completed,,GFL,Biodiversity and Land Branch (BLB),Under closure; finance to verify,09/30/2020," 47,964 "," 431,673 "," 479,636 "
4764,UNEP,Regional,Europe,Nomadic Herders: Enhancing the resilience of pastoral ecosystems and livelihoods of nomadic herders (Short title: Nomadic Herders' project),Nomadic Herders,Johan Robinson,FSP,PIF Approved,Multi-focal Areas(LD/BD),Ecosystem Management,07-Jun-12,,13-Apr-12,04-Sep-12,30-Nov-13,SB-000816.73,"$122,727.00",,,,,,,,,,SB-000816.73,S1-32GFL-000379,,"$4,695,454"," 23,840,790 ",Aska Ochiel ,,,,,,GFL,Biodiversity and Land Branch (BLB),Project not approved,12/30/1899," 46,955 "," 422,591 "," 469,545 "
4818,UNEP,Lebanon,West Asia,"Revision/Updating of the NBSAP, preparation of 5th National Report to CBD and undertaking clearing house mechanism activities ","Lebanon (SC) - Revision/Updating of the NBSAP, Preparation of 5th National Report to CBD and Undertaking Clearing House Mechanism Activities",Jane Nimpamya,EA,Technically Completed,Biodiversity,Ecosystem Management,16-Apr-12,,,,,,$0.00,16-Apr-12,13-Aug-12,13-Aug-12,30-Jun-14,30-Jun-14,31-Dec-15,31-Dec-15,1,31-Dec-15,SB-000760.02.02,S1-32GFL-000367,P1-33GFL-000226,"$180,000"," 220,000 ",Evelyn Machasio,George Saddimbah,Michael Atogoh,N/A,N/A,,GFL,Biodiversity and Land Branch (BLB),,12/31/2015," 1,800 "," 16,200 "," 18,000 "
4829,UNEP,"Global (Philippines, Cameroon,  St.Vincent and the Grenadines, Guinea-Bissau, Togo, Mongolia, Uzbekistan, Nigeria, Republic of Congo, Costa Rica, Central African Republic, Haiti, Nauru, Algeria, Niger, Chad, Nepal, Burkina Faso, Moldova, Morocco, Ghana, Sri Lanka, Serbia, Colombia, Sao Tome and Principe, Lao PDR, Turkmenistan, Dominican Republic, DR Congo, Guinea, Niue, Benin, Angola, Equatorial Guinea, Gambia, Burundi, Kenya, Vanuatu, Mauritania, Iraq, Senegal, The Cook Islands, Comoros, Ivory Coast, Gabon, South Africa, Paraguay, Sierra Leone, Liberia, Afghanistan, St Christopher and Nevis, Grenade )", Global,Support to GEF Eligible parties for Alignment of National Action Programs and Reporting process under UNCCD,"UNCCD Paraguay,Liberia,Colombia 4C54",Adamou Bouhari,FSP,Completed,Land Degradation,Ecosystems Management,07-Jun-12,27-Feb-12,,,,N/A,$0.00,17-Jul-12,02-Aug-12,19-May-14,31-Dec-14,30-Mar-22,,01-Jul-14,1,30-Mar-22,"SB-000762.24.96,SB-000762.24.16,SB-000762.24.65",S1-32GFL-000380,"P1-33GFL-001143,P1-33GFL-000357,P1-33GFL-000692","$2,830,000"," 2,750,000 ",Eric Mugo ,George Saddimbah,Linda Choge,,,,GFL,Biodiversity and Land Branch (BLB),,03/30/2022," 28,300 "," 254,700 "," 283,000 "
4847,UNEP,Bahamas,Latin America and the Caribbean,"Pine Islands - Forest/Mangrove Innovation and Integration (Grand Bahamas, New Providence, Abaco and Andros) ",Bahamas Pine Islands FSP - Pine Islands,Christopher Cox,FSP ,Under Implementation,Multi-focal Areas(BD/LD),Ecosystem Management,12-Apr-13,,21-Feb-13,16-Feb-17,31-Aug-17,SB-000689.27,"$100,000.00",08-Sep-15,17-Nov-15,05-Nov-15,16-Nov-19,31-Dec-22,,31-Dec-22,1,,"SB-004319.01,SB-004319.02,SB-004319.03,SB-004319.04",S1-32GFL-000621,P1-33GFL-000802,"$2,853,425"," 7,695,258 ",Gloritzel Frangakis ,George Saddimbah,Weldon Lemein,Completed,N/A,,GFL,Biodiversity and Land Branch (BLB),,12/31/2022," 28,534 "," 256,808 "," 285,343 "
4865,UNEP,China,Asia Pacific,"Expansion and Improvement of Biodiversity Conservation and Sustainable Use of Natural Resources in the Greater Shennongjia Area, Hubei Province",Shennonjia,Max Zieren,FSP,Under Implementation,Biodiversity,Ecosystem Management,12-Apr-13,01-Feb-15,20-Feb-13,02-Aug-13,30-Aug-14,SB-000689.02.02,"$82,192.00",24-Dec-15,09-May-18,25-May-18,30-Jun-21,30-Jun-22,,31-May-23,1,,SB-010129,S1-32GFL-000617,P1-33GFL-001453,"$2,657,534"," 15,091,805 ",Peerayot Sidonrusmee,Janet Bwiza,Serah Shaiya,Not Completed,21-Dec,,GFL,Biodiversity and Land Branch (BLB),Will (i) complete MTR to get advice on that and (ii) prepare a NCE. ,06/30/2022," 26,575 "," 239,178 "," 265,753 "
4883,UNEP,Mexico,Latin America and the caribbean,Integrating the Management of Protection and Production Areas for Biodiversity Conservation in the Sierra Tarahumara of Chihuahua,Tarahumara-Mexico/FSP,Robert Erath,FSP,Completed,Biodiversity ,Ecosystem Management,07-Jun-12,,20-Apr-12,08-Oct-12,24-Dec-14,SB-000688.06,"$100,000.00",03-Apr-14,13-Jun-14,10-Jul-14,12-Jun-19,12-Jun-20,31-Dec-20,30-Apr-21,1,30-Apr-22,SB-000688.06,S1-32GFL-000385,P1-33GFL-000342,"$4,900,000"," 40,036,159 ",Gloritzel Frangakis ,Janet Bwiza,Lilian Musyoka,Completed,Ongoing,,GFL,Biodiversity and Land Branch (BLB),Under closure; finance to verify,12/31/2020," 49,000 "," 441,000 "," 490,000 "
