ProductionProcess,ImpactDriver,RAG,Justification
Integrated oil and gas,Water pollutants,M,"Produced water, exhaust fumes, drilling fluids and accidental spillages or losses of products can have negative chemical effects on local habitats, ecosystems and the atmosphere. It is estimated that one drilling platform discharges over 90,000 metric tonnes of drilling fluids and metal cuttings in its lifetime. In marine habitats, potential pollutants include drill cuttings, drill fluids and processed water, which can drastically pollute water and kill benthic and freshwater vegetation."
Integrated oil and gas,Water use,VH,Large-scale water abstraction from groundwater aquifers can contribute to drought.
Iron extraction,Disturbances,H,Disruption from operations can have negative impacts on populations and lead to large scale species migrations.
Iron extraction,GHG emissions,H,"Nitrous oxide, carbon dioxide, and other indirect greenhouse gases are released from the operation of equipment, polluting the atmosphere."
Iron extraction,Non-GHG air pollutants,H,"Carbon monoxide, sulphur dioxide, and fugitive dust are released from the operation of equipment, polluting the atmosphere."
Iron extraction,Terrestrial ecosystem use,VH,"Use of heavy machinery, explosives and flammable liquids in extraction and associated processing has resulted in the increase of non-natural fires at surface mining sites. Increased soil degradation and seismic activities around mines can result in landslides. Non-native and invasive species can be introduced to sites by vehicles, and in some instances by reclamation programmes that use cheap and/or fast-establishment seed."
Iron extraction,Water use,VH,"Water is used in flotation beneficiation, smelting, and electro-refining. Large-scale water abstraction from groundwater aquifers can contribute to increasing likelihood and/or severity of droughts."
Iron metal production,Disturbances,H,Disruption from operations can have negative impacts on populations and lead to large scale species migrations.
Iron metal production,GHG emissions,H,"Nitrous oxide, carbon dioxide, and other indirect greenhouse gases are released from the operation of equipment, polluting the atmosphere."
Iron metal production,Non-GHG air pollutants,H,"Carbon monoxide, sulphur dioxide, and fugitive dust are released from the operation of equipment, polluting the atmosphere."
Iron metal production,Solid waste,H,"Large volumes of solid waste are produced during iron metal production. Among others, waste products may include iron ore tailings, blast furnace slags, and steel slags."
Iron metal production,Water pollutants,M,"Acid Mine Drainage also occurs from the beneficiation processes, which can pollute nearby water bodies. Heavy metals can also be introduced into the water courses. All of these pollutants can negatively impact on nearby species and habitats."
Iron metal production,Water use,VH,"Steel plants use large quantities of water for steam generation, cooling, waste transfer, and dust control. This water is often directly extracted from water sources such as rivers. Large-scale water abstraction from groundwater aquifers can contribute to drought."
Jewellery production,Non-GHG air pollutants,H,"Manufacturing processes lead to non-product outputs, which include gaseous emissions. Pollution may occur as a result of using certain materials and substances such as acids, solvents, compressed gases, colourants, binders, solders, paints, oils and other chemicals."
Jewellery production,Soil pollutants,M,"Pollution may occur as a result of using certain materials and substances such as acids, solvents, compressed gases, colourants, binders, solders, paints, oils and other chemicals."
Jewellery production,Solid waste,M,"Manufacturing processes lead to non-product outputs, which include waste material, some of which is reused or recycled."
Jewellery production,Water pollutants,M,"Manufacturing processes lead to non-product outputs, which include liquid emissions. Other forms of pollution may occur as a result of using certain materials and substances such as acids, solvents, compressed gases, colourants, binders, solders, paints, oils and other chemicals."
Large-scale forestry,GHG emissions,H,"The use of heavy machinery, charcoal making and saw dust leachate at sites increase greenhouse gas emissions."
Large-scale forestry,Terrestrial ecosystem use,VH,"Clear cutting for forestry can lead to: 1) large scale habitat degradation; 2) altered species populations due to forest removal and replacement with exotics (e.g. higher number of pests, lower number of endemic species); 3) increased fire risk from exposure of adjacent uncut forests or leftover ground vegetation; 4) increased soil degradation and erosion from compaction, exposure and mechanical damage, altering soil properties and vegetation; 5) increased risk of landslides."
Large-scale forestry,Water pollutants,H,"The use of heavy machinery, charcoal production, and saw dust leachate at sites increase levels of water pollution."
Large-scale irrigated arable crops,Freshwater ecosystem use,VH,"Expansion of irrigated arable crops has led to increased habitat modification, in particular through drainage (e.g. of wetlands) and conversion of natural habitats to croplands. Drainage of wetlands for irrigation can lead to increased spread and settlement of invasive species."
Large-scale irrigated arable crops,Soil pollutants,H,"Herbicide and pesticide use for arable crops leads to substantial environmental pollution, particularly of soils."
Large-scale irrigated arable crops,Terrestrial ecosystem use,VH,Expansion of irrigated arable crops has led to increased habitat modification and conversion of natural habitats to croplands.
Large-scale irrigated arable crops,Water pollutants,H,"Herbicide and pesticide use for arable crops leads to substantial environmental pollution, particularly of nearby water bodies (surface and ground water) and soils."
Large-scale irrigated arable crops,Water use,VH,"Irrigation of arable crops leads to a substantial water footprint, which may be unsustainable in many areas of the world."
Large-scale livestock (beef and dairy),GHG emissions,H,"Greenhouse gas emissions, particularly methane, from beef and dairy cows lead to higher levels of atmospheric pollution."
Large-scale livestock (beef and dairy),Soil pollutants,M,"If untreated, run-off from beef and dairy farms (e.g. from nutrients and manure) leads to a significant increase in pollution of soils. Livestock and dairy farming significantly accelerates soil erosion globally."
Large-scale livestock (beef and dairy),Terrestrial ecosystem use,VH,"Large areas of land are cleared and converted to rear beef and dairy livestock. Rearing of cattle for beef production is linked to intensive farming of crops used in feed, such as soy."
Large-scale livestock (beef and dairy),Water pollutants,M,"If untreated, run-off from beef and dairy farms (e.g. from nutrients and manure) leads to a significant increase in pollution of water bodies."
Large-scale livestock (beef and dairy),Water use,VH,"Beef and dairy production has a significant water footprint. Dairy production for example is estimated at 1,000 Litres of water per Litre of milk over the entire supply chain.  Water abstraction, for beef production or to sustain dairy cows and maintain their pasture lands, can contribute to local water stress. When this coincides with adverse weather conditions this can increase the risk of drought."
Large-scale rainfed arable crops,Other resource use,L,Preferential selection of crop species to meet consumer demand leads to reduced genetic diversity.
Large-scale rainfed arable crops,Soil pollutants,H,"Herbicide and pesticide use for arable crops leads to substantial environmental pollution, particularly of soils."
Large-scale rainfed arable crops,Terrestrial ecosystem use,VH,"Agricultural expansion in areas that rely on rainwater as a water source, leads to conversion and degradation of natural habitats. Poor management practices in rainfed agriculture systems lead to increased soil erosion and decreases in soil moisture. Rainfed arable crops can reduce the severity of flooding when appropriate soil management practices are adopted."
Large-scale rainfed arable crops,Water pollutants,H,"Herbicide and pesticide use for arable crops leads to substantial environmental pollution, particularly of nearby water bodies (surface and ground water) and soils."
Leisure facility provision,Solid waste,M,"Waste is produced by offices and service centres, and non-recycling of materials."
"Life science, pharma and biotech manufacture",Non-GHG air pollutants,M,"In manufacturing processes, potential pollutants include gaseous emissions."
"Life science, pharma and biotech manufacture",Soil pollutants,H,Discharges from manufacturing units have in many countries led to contamination of irrigated soils. Packaging and chemicals used in production processes can contribute to environmental pollution if not handled correctly.
"Life science, pharma and biotech manufacture",Solid waste,H,"Manufacturing processes can produce waste material (some of which may be reused or recycled). Packaging and other waste material used in, or created through, production processes can contribute to environmental pollution if not handled correctly."
"Life science, pharma and biotech manufacture",Water pollutants,H,"Chemicals used in production can contribute to environmental pollution if not handled safely. Specifically, wastes and wastewater from production may contain eutrophicating substances, heavy metals, or active pharmaceutical ingredients, which can lead to pollution of river sediments, surface, ground and drinking water. Discharges from manufacturing points have been linked to population changes in exposed biota, by intoxicating some or causing significant changes to animal physiology. "
"Life science, pharma and biotech manufacture",Water use,H,Manufacturing processes and facilities use water throughout their operations for production.
"Life science, pharma and biotech tools and services",Solid waste,M,"Waste is produced by laboratory facilities and offices, and non-recycling of materials."
Managed health care,GHG emissions,H,Air pollution may occur from greenhouse gas emissions from health care facilities.
Managed health care,Soil pollutants,M,Waste from products (e.g. chemicals) can have substantial environmental impacts.
Managed health care,Water pollutants,M,Waste from products (e.g. chemicals) can have substantial environmental impacts.
"Manufacture of machinery, parts and equipment",Disturbances,M,Noise pollution from manufacturing processes can negatively affect species.
"Manufacture of machinery, parts and equipment",GHG emissions,H,Greenhouse gas emissions from manufacturing and production processes such as burning coal and cooling contribute to air pollution.
"Manufacture of machinery, parts and equipment",Non-GHG air pollutants,M,"Gases and particulates from manufacturing and production processes such as burning coal and cooling contribute to air pollution. Additionally, harmful chemicals may be emitted into the atmosphere such as sulphur and nitrogen oxides, which impact the environment through acid rain."
"Manufacture of machinery, parts and equipment",Soil pollutants,H,"Use of toxic and persistent materials in the manufacture of electronics, hi-tech materials and weapons, can lead to pollution of natural environments. Pollution may occur as a result of using certain materials and substances such as acids, solvents, compressed gases, colourants, binders, solders, paints, oils and other chemicals. Waste water from cooling and cleaning processes can lead to increased toxicity in soil."
"Manufacture of machinery, parts and equipment",Solid waste,H,"Manufacturing production processes lead to creation of large volumes of solid waste. The exact types of solid waste produced will vary, but these can include non-product outputs such as glass, metal, plastic, paper and cardboard, wood, and rubber and leather."
"Manufacture of machinery, parts and equipment",Water pollutants,H,"Use of toxic and persistent materials in the manufacture of electronics, hi-tech materials and weapons, can lead to pollution of natural environments. Pollution may occur as a result of using certain materials and substances such as acids, solvents, compressed gases, colourants, binders, solders, paints, oils and other chemicals. Waste water from cooling and cleaning processes can lead to increased toxicity in aquatic environments."
"Manufacture of machinery, parts and equipment",Water use,H,"Manufacturing processes and facilities use water throughout their operations for production, for example surface water is used to cool the body welding machine during the production of automobiles. Based on site-level conditions some proponents may source this water directly from local water bodies, whereas others may choose to source it from water utility companies. In the latter case, the impact is considered to occur under the relevant water distribution production process."
Manufacture of semiconductor equipment,GHG emissions,H,"These processes produce emissions, mainly from the use of fluorinated gases (F-gases)."
Manufacture of semiconductor equipment,Soil pollutants,H,"Chemicals that can cause environmental issues, such as arsenic and harsh acids, are used to manufacture semiconductors."
Manufacture of semiconductor equipment,Water pollutants,H,"Chemicals that can cause environmental issues, such as arsenic and harsh acids, are used to manufacture semiconductors."
Manufacture of semiconductor equipment,Water use,H,"The production of semiconductors use large volumes of water. It was reported that a typical facility producing semiconductors uses over 2 million gallons of water every day. While recycling and reusing of water does occur, extensive chemical treatment is required for remediation."
Marine ports and services,Disturbances,H,"Noise pollution also occurs in port areas. This is caused by many sources such as ship engines, cranes, trucks. Additionally, machinery generates noise into the surrounding air and also induces vibration into any structure to which it is connected. Noise transmission can either be waterborne, airborne or structure-borne. The most significant noise pollution in port areas are airborne and ambient noise in outdoor areas."
Marine ports and services,Freshwater ecosystem use,VH,"Ports require regular dredging to remain operational, where ports are constructed along rivers this impacts on freshwater ecosystems."
Marine ports and services,GHG emissions,H,"Air pollution can occur from activities that are associated with shipping, such as vehicle and rail traffic, loading and unloading, ship demolition or modification, ship movements in port, ship activities in hotelling phase (lighting, heating, refrigeration, ventilation). Port emissions are caused not only by ships but also vehicles and cargo handling. Sulphur and nitrogen compounds emitted from ships oxidize in the atmosphere to form sulphate and nitrate, thus contributing to acidification."
Marine ports and services,Marine ecosystem use,VH,"Ports require regular dredging to remain operational, where ports are constructed along coastlines this impacts on marine ecosystems."
Marine ports and services,Soil pollutants,H,"Changes to soil chemistry can occur from mixing of soils due to excavation and storage during maintenance processes. Additional pollution of soils may result from waste and litter, as well as from dredging processes required to maintain ports."
Marine ports and services,Solid waste,M,"Office buildings associated with service provision create large volumes of solid waste, which contributes to municipal solid waste. The exact types of solid waste produced will vary, but these can include non-product outputs such as glass, metal, plastic, paper and cardboard, wood, and rubber and leather."
Marine ports and services,Terrestrial ecosystem use,H,Some substances transported and stored may create risks of fire.
Marine ports and services,Water pollutants,H,"Water pollution can occur in ports and their vicinity, for example from oil and chemical leakage from ships and products, and leaching of antifouling paints. Additional pollution of water may result from waste and litter, as well as from dredging processes required to maintain ports."
Marine transportation,Disturbances,H,"Marine transportation can cause noise pollution. Noise transmission can either be waterborne, airborne or structureborne. The most significant noise pollution in port areas are airborne and ambient noise in outdoor areas. Noise associated with cargo handling has the potential to cause disturbance to animals and birds inhabiting marine environment."
Marine transportation,GHG emissions,H,"Air pollution can occur from ship movement in ports and ship activities in hotelling phase. Sulphur and nitrogen compounds emitted from ships oxidize in the atmosphere to form sulphate and nitrate, and thus contribute to acidification."
Marine transportation,Marine ecosystem use,H,Dredging of marine sediments to improve waterways can reduce the availability of sediments as a valuable resource.
Marine transportation,Soil pollutants,H,Changes to soil chemistry can occur from mixing of soils due to excavation and storage during construction of marine transportation facilities.
Marine transportation,Water pollutants,H,"Water pollution can occur from: 1) ship wash, which affects water quality through intertidal erosion of estuaries, sediment resuspension, and turbidity; 2) oil and fuel leakage from motors and cargo; 3) spillage of antifouling paints; 4) chemical compound emitted by machinery and ship engines (e.g. nitrogen oxides, carbon monoxide, ozone, sulphur dioxide); 5) dust and other waste production from handling; 6) dredging to improve waterways, which can reintroduce contaminated substances."
Membrane technology,GHG emissions,H,"Carbon emissions from creating high pressure to separate elements, contributes to atmospheric pollution."
Metal processing,GHG emissions,H,"Potential greenhouse gas air pollutants emitted directly through metal processing may include carbon dioxide, nitrogen oxides, sulphur hexafluorides and sulphur dioxide."
Metal processing,Non-GHG air pollutants,M,"Potential non-greenhouse gas air pollutants may include carbon monoxide, lead, VOCs (volatile organic compounds) and PM (particulate matter)."
Metal processing,Soil pollutants,M,"The land at sites could be contaminated by harmful substances such as oils and tars, heavy metals, asbestos and chemicals."
Metal processing,Solid waste,H,Solid waste is generated at multiple stages of metal processing. Waste products can range from dusts and specific substances (e.g. 'green sands') through to packaging and spent lead acid batteries.
Metal processing,Water pollutants,M,"Processed water may be discharged, carrying contaminated water into natural water systems."
Metal processing,Water use,H,"Water is used in processing operations in several ways, including air pollution control functions and cooling water."
Mining,Disturbances,H,Seismic activity from excavation blasting can result in the migration of species from a localised areas.
Mining,Freshwater ecosystem use,H,"Mines can leach wastewater that is acidified or contains high concentrations of heavy metals and other toxic chemicals (e.g. sulphuric acid, cyanide, mercury, arsenic). These negatively impact aquatic and soil based habitats and species, for example by killing vegetation in the area of spread. This is very destructive in wetlands that are highly sensitive to changes in pH. Dust clouds and mineral deposition from mines can alter soil characteristics making it unsuitable for native vegetation."
Mining,GHG emissions,H,"Atmospheric pollution can occur from emission of greenhouse gases such methane and carbon dioxide through extraction processes. For example, certain substances can self combust under specific oxidative and high sulphur conditions, resulting in the release of methane and other greenhouse gases, which contribute to atmospheric pollution."
Mining,Non-GHG air pollutants,H,"Cyanide species used in leaching processes are susceptible to vaporisation, causing atmospheric release of cyanide (a toxic compound). On drying certain substances (e.g. coal gangue) can turn into toxic dust that is lifted into the atmosphere and spread."
Mining,Soil pollutants,H,"Mines can leach wastewater that is acidified or contains high concentrations of heavy metals and other toxic chemicals (e.g. sulphuric acid, cyanide, mercury, arsenic). These negatively impact habitats and species, for example by killing vegetation in the area of spread. This is very destructive in wetlands that are highly sensitive to changes in pH. Dust clouds and mineral deposition from mines can alter soil characteristics making it unsuitable for native vegetation."
Mining,Solid waste,H,Heavy metals released in ore heaps where leaching occurs can negatively impact vegetation and soil conditions when exposed to accidental spillage or leakage.
Mining,Terrestrial ecosystem use,VH,"Mining practices can severely degrade and fragment habitats. Soil degradation and seismic activities can result in landslides and subsidence, particularly in underground mining. Non-native and invasive species can be introduced to sites by vehicles, and in some instances by reclamation programmes that use cheap and/or fast-establishment seed. Use of heavy machinery, explosives and flammable liquids in extraction and processing can lead to increase of non-natural fires at surface mining sites."
Mining,Water pollutants,H,"Mines can leach wastewater that is acidified or contains high concentrations of heavy metals and other toxic chemicals (e.g. sulphuric acid, cyanide, mercury, arsenic). These negatively impact habitats and species, for example by killing vegetation in the area of spread. This is very destructive in wetlands that are highly sensitive to changes in pH. Dust clouds and mineral deposition from mines can alter soil characteristics making it unsuitable for native vegetation."
Mining,Water use,VH,"Water is used in almost all stages of the mining process. The most water intensive activities are the cooling of drilling machinery and dust suppression. Large volumes of water are needed to create leaching solutions for solid calcium and sodium cyanide. Surface mining can result in depletion of aquifers to access seams and ensure safety of extraction. Water extraction from mining consumes both static and dynamic reserves of aquifers, contributing to increased drought severity and/or frequency."
Natural fibre production,Non-GHG air pollutants,H,"Manufacturing processes lead to nonproduct outputs, which include gaseous emissions. Other forms of pollution may occur as a result of using certain materials and substances such as acids, solvents, compressed gases, colourants, binders, solders, paints, oils and other chemicals."
Natural fibre production,Soil pollutants,M,"Pollution may occur as a result of using certain materials and substances such as acids, solvents, compressed gases, colourants, binders, solders, paints, oils and other chemicals."
Natural fibre production,Solid waste,M,"Manufacturing processes lead to nonproduct outputs, which include waste material, some of which is reused or recycled."
Natural fibre production,Terrestrial ecosystem use,H,"Natural fibre production demands vast areas for fibre growth (e.g. hemp, cotton). This results in habitat modification and in some instances loss of natural habitat. Natural fibre production involves intensive agriculture, which may impact species and ecosystems in the surrounding area."
Natural fibre production,Water pollutants,M,"Manufacturing processes lead to nonproduct outputs, which include liquids. Other forms of pollution may occur as a result of using certain materials and substances such as acids, solvents, compressed gases, colourants, binders, solders, paints, oils and other chemicals."
Natural fibre production,Water use,VH,Manufacturing processes and facilities use water throughout their operations for production. More water is used to produce natural fibres than synthetic fibres.
Natural gas combustion,GHG emissions,H,Carbon is released into the atmosphere through high energy use in some processes.
Natural gas combustion,Non-GHG air pollutants,H,"Gaseous emissions of harmful substances such as hydrogen sulphide, ammonia and phosphine are released from wet processes."
Natural gas combustion,Soil pollutants,H,Wastewater from natural gas production processes can lead to contamination of nearby soils.
Natural gas combustion,Terrestrial ecosystem use,H,"Calcium carbide and acetylene are highly flammable compounds that are prone to explosion and combustion, thus increasing fire risk."
Natural gas combustion,Water pollutants,H,"Produced water from the various steps of production processes is highly contaminated with toxic materials (heavy metals, ammonia, sulphuric acid, sodium hydroxide, oil and calcium chloride). Many of these substances are disposed of through neutralisation in Lime pits. Accidental leakage and spillage from these pits can cause contamination of natural water systems."
Natural gas combustion,Water use,VH,Large volumes of water are used to cool heat produced in chemical reactions.
Nuclear and thermal power stations,Disturbances,H,Species can be affected by noise and light pollution during routine operation (e.g. movement of vehicles).
Nuclear and thermal power stations,Freshwater ecosystem use,H,"When water is used for cooling thermal power stations, water withdrawal mechanisms can harm or kill aquatic species."
Nuclear and thermal power stations,GHG emissions,H,"Thermal power stations that use combustion of fossil fuels to heat water and produce steam (thermal energy) emit greenhouse gases (including CO2). Nuclear power plants can also emit greenhouse gases (e.g. carbon dioxide, nitrous oxides, and sulphur dioxides)."
Nuclear and thermal power stations,Non-GHG air pollutants,H,"Thermal power stations that use combustion of fossil fuels to heat water and produce steam (thermal energy) emit sulphur dioxide, nitrogen oxides, particulate matter and carbon monoxide. Nuclear power plants can emit gases (e.g. carbon monoxide) and radioactive substances (e.g. CH14 and H3), which pollute vegetation and lead to decreases in soil productivity."
Nuclear and thermal power stations,Soil pollutants,M,"Nuclear power plants can emit gases (e.g. carbon dioxide, carbon monoxide, nitrous oxides, and sulphur dioxides) and radioactive substances (e.g. CH14 and H3), which pollute vegetation and lead to decreases in soil productivity."
Nuclear and thermal power stations,Solid waste,H,"Nuclear power stations produce various types of solid waste, most importantly hazardous nuclear waste, which requires careful treatment and storage. Additional forms of solid waste include resins, sludges and filter media, among others."
Nuclear and thermal power stations,Water pollutants,M,"Wastewater from nuclear power plant cooling processes returned to water bodies can negatively impact aquatic species. Thermal pollution of more than 2∞C can occur up to 3km from the discharge point, while emissions of chemical and radioactive substances from nuclear power plants are tightly controlled these can occur. Aquatic habitats may also be modified by the large volumes of discharged water from thermal power plants (especially those using once-through cooling systems)."
Nuclear and thermal power stations,Water use,VH,"Thermal and nuclear power plants have substantial water requirements for their routine operating processes, e.g. production of steam and in cooling processes. For example, average sized nuclear power plants (i.e. approximately 1,487 MW) require one US gallon per hour per kW of energy, leading to a significant water footprint and increased levels of water abstraction within watersheds."
Oil and gas drilling,Disturbances,H,Noise pollution caused by associated seismic drilling can negatively impact species' migration routes and habitats. Light pollution from facilities has a similar effect on certain species.
Oil and gas drilling,Freshwater ecosystem use,H,Drilling for oil on land is disruptive to the environment and can impact on natural habitats.
Oil and gas drilling,GHG emissions,H,"Oil and gas drilling processes can lead to leakage of Greenhouse Gases (e.g. methane), which contribute to global climate change."
Oil and gas drilling,Marine ecosystem use,VH,Drilling for oil at sea is disruptive to the environment and can impact on natural habitats.
Oil and gas drilling,Non-GHG air pollutants,H,"Produced water, exhaust fumes, emitted drilling fluids and accidental spillages or losses of products can have negative chemical effects on surrounding habitats, ecosystems and the atmosphere. Gas flares can also result in emissions of up to 200 different toxic materials into localised area."
Oil and gas drilling,Soil pollutants,H,"Produced water, exhaust fumes, emitted drilling fluids and accidental spillages or losses of products can have negative chemical effects on surrounding habitats, ecosystems and the atmosphere. It is estimated that one drilling platform discharges over 90,000 metric tonnes of drilling fluids and metal cuttings in its lifetime."
Oil and gas drilling,Solid waste,H,"Large volumes of solid waste are produced during oil and gas drilling (e.g. drilling solids), which can lead to pollution if they are not properly disposed of."
Oil and gas drilling,Terrestrial ecosystem use,H,Drilling for oil on land is disruptive to the environment and can impact on natural habitats.
Oil and gas drilling,Water pollutants,H,"Produced water, exhaust fumes, emitted drilling fluids and accidental spillages or losses of products can have negative chemical effects on surrounding habitats, ecosystems and the atmosphere. In marine habitats, potential pollutants include drill cuttings, drill fluids and processed water, which can pollute water and kill benthic and freshwater vegetation."
Oil and gas drilling,Water use,VH,"Large volumes of water are required in drilling to produce pressure, increase lubrication and cool apparatus."
Oil and gas exploration surveys,Disturbances,H,"Noise pollution caused by associated seismic drilling can negatively impact species' migration routes and habitats. Light pollution from facilities has a similar effect on certain species. Disturbance by associated seismic drilling can negatively impact certain species' migration routes and habitats, which may result in significant population changes. Loss of access to breeding grounds can also result in the reduction of populations near drill sites."
Oil and gas exploration surveys,Freshwater ecosystem use,H,"Loss of vegetation can disrupt freshwater fauna by enhancing habitat fragmentation, altering animal behaviour and reducing ecological integrity of systems. Seismic activity induced by production methods can also result in mass flows altering landscapes."
Oil and gas exploration surveys,GHG emissions,H,The release of carbon from fires can considerably contribute to greenhouse gas emissions.
Oil and gas exploration surveys,Marine ecosystem use,M,"Oil and gas exploration surveys can disrupt marine environments, particularly when they span large exploration blocks. Block sizes vary, with some estimates citing average areas of 250 km2."
Oil and gas exploration surveys,Non-GHG air pollutants,H,"Produced water, exhaust fumes, emitted drilling fluids and accidental spillages or losses of products can have negative chemical effects on surrounding habitats, ecosystems and the atmosphere. It is estimated that one drilling platform discharges over 90,000 metric tonnes of drilling fluids and metal cuttings in its lifetime. Gas flares can also result in emissions of up to 200 different toxic materials into localised area."
Oil and gas exploration surveys,Soil pollutants,H,"Produced water, exhaust fumes, emitted drilling fluids and accidental spillages or losses of products can have negative chemical effects on surrounding habitats, ecosystems and the atmosphere. It is estimated that one drilling platform discharges over 90,000 metric tonnes of drilling fluids and metal cuttings in its lifetime."
Oil and gas exploration surveys,Solid waste,H,Deposition of drill cuttings can leave significant debris in localised areas causing geological changes at a localised scale.
Oil and gas exploration surveys,Terrestrial ecosystem use,H,"Vegetation loss can disrupt local species through habitat fragmentation, altering behaviour and reducing ecological integrity of systems. Seismic activity can result in mass flows, altering landscapes. Oil and gas products and use of high-pressure mechanisms and machinery lead to a high risk of explosions that can cause localised fires, which may spread to large areas. Fires can severely impact local habitats, while vaporised chemicals can spread through wind, impacting habitats further afield."
Oil and gas exploration surveys,Water pollutants,H,"Produced water, exhaust fumes, drilling fluids and accidental spillages or losses of products can have negative chemical effects on local habitats, ecosystems and the atmosphere. It is estimated that one drilling platform discharges over 90,000 metric tonnes of drilling fluids and metal cuttings in its lifetime. In marine habitats, potential pollutants include drill cuttings, drill fluids and processed water, which can drastically pollute water and kill benthic and freshwater vegetation."
Oil and gas exploration surveys,Water use,VH,"Across all oil and gas operations water is used for personnel, construction (cement production, dust settling and for construction of well pads in sub zero temperatures), drilling and well completion, upstream processing (desalters, circulation pumps and coolants). These processes typically drain large amounts of water from localised areas, which can deplete water reserves. When this coincides with adverse weather conditions this can significantly increase the risk of drought."
Oil and gas refining,GHG emissions,H,"Refinery processes emit significant gas-based pollutants (e.g. methane), which can have a negative impact on atmospheric conditions. "
Oil and gas refining,Non-GHG air pollutants,H,"Chemical emissions of sulphur and nitrogen oxides can return to the environment as acid rain, negatively impacting natural resources. Other air pollutants from oil and gas refineries include benzene, toluene, ethylbenzene, xylene, carbon monoxide and particulate matter."
Oil and gas refining,Soil pollutants,L,Spills and leaks from refineries can result in the increased toxicity in soil in localised areas.
Oil and gas refining,Water pollutants,L,"Spills and leaks from refineries can result in increased water toxicity in localised areas. Water-based pollution may kill vegetation, resulting in habitat change across localised areas."
Oil and gas refining,Water use,VH,"Upstream processing (desalters, circulation pumps and coolants) typically drain large amounts of water from localised areas."
Oil and gas services,Solid waste,M,"Office buildings associated with service provision create large volumes of solid waste, which contributes to municipal solid waste. The exact types of solid waste produced will vary, but these can include non-product outputs such as glass, metal, plastic, paper and cardboard, wood, and rubber and leather."
Oil and gas storage,Soil pollutants,L,Accidental spillage or leaks from storage sites can result in soil based pollution.
Oil and gas storage,Terrestrial ecosystem use,H,Habitat is sometimes cleared from areas surrounding storage facilities to prevent wildfires from approaching the facility. Clearing of habitat around storage facilities can alter natural fire regimes.
Oil and gas storage,Water pollutants,L,Accidental spillage or leaks from storage sites can result in aquatic pollution.
Oil and gas transportation,Freshwater ecosystem use,H,"Railways, roads and pipelines lead to habitat fragmentation in freshwater ecosystems."
Oil and gas transportation,GHG emissions,H,"Transport via truck, train and ship all result in the emission of greenhouse gasses, which contribute to atmospheric pollution."
Oil and gas transportation,Marine ecosystem use,H,"Railways, roads and pipelines lead to habitat fragmentation in marine ecosystems."
Oil and gas transportation,Soil pollutants,L,"Spills and leaks from storage sites, pipelines and motor transport can increase toxicity in both terrestrial and aquatic habitats."
Oil and gas transportation,Terrestrial ecosystem use,H,"Railways, roads and pipelines lead to habitat fragmentation in terrestrial ecosystems."
Oil and gas transportation,Water pollutants,L,"Spills and leaks from storage sites, pipelines and motor transport can increase toxicity in aquatic habitats."
Oil and gas transportation,Water use,H,Water is required and extracted for the creation of oil in water emulsions for transportation in pipelines.
Paper packaging production,Non-GHG air pollutants,M,"Pulp mills contribute to air, water and land pollution. Pulp and paper is among the largest industrial polluter to air, water, and land in some countries, and the industry releases well over 100 million kg of polluting substances each year."
Paper packaging production,Soil pollutants,H,"Pulp mills contribute to air, water and land pollution. Pulp and paper is among the largest industrial polluter to air, water, and land in some countries, and the industry releases well over 100 million kg of toxic pollution each year."
Paper packaging production,Water pollutants,H,"Pulp mills contribute to air, water and land pollution. Pulp and paper is among the largest industrial polluter to air, water, and land in some countries, and the industry releases well over 100 million kg of toxic pollution each year."
Paper packaging production,Water use,VH,"Pulp mills use large volumes of water for soaking pulp before producing paper. Water recycling systems can be put in place to reduce the severity of this impact on local water resources. However, this is not yet a common practice across the entire industry."
Polymerization,Non-GHG air pollutants,M,"Harmful air pollutants are emitted in polymerization processes including: trichloroethanol, acetone, methylene chloride, methyl ethyl ketone styrene toluene and trichloroethane."
Polymerization,Soil pollutants,H,"Toxic and harmful chemicals such as nickel, ethylbenzene, ethylene oxide and benzene contained in wastewater can lead to contamination of nearby soils."
Polymerization,Terrestrial ecosystem use,H,The use of petroleum products in high temperatures and pressures increase likelihood of explosion and fire.
Polymerization,Water pollutants,H,"Dilute aqueous caustic scrubs are used in production meaning waste water is polluted with toxic and harmful chemicals such as nickel, ethylbenzene, ethylene oxide and benzene."
Polymerization,Water use,VH,Production of 1 pound of plastic requires approximately 22 gallons of water to manufacture.
Processed food and drink production,GHG emissions,H,"Substantial volumes of greenhouse gases are emitted during soft drink production and manufacturing, including bottle production."
Processed food and drink production,Soil pollutants,M,"Wastewater from the production of processed foods and soft drinks can lead to significant environmental pollution, including nearby soils."
Processed food and drink production,Solid waste,H,Solid wastes from the production of processed foods and soft drinks (e.g. plastic packaging) can lead to significant environmental pollution.
Processed food and drink production,Water pollutants,M,Wastewater from the production of processed foods and soft drinks can lead to significant environmental pollution.
Processed food and drink production,Water use,H,"Processed food and drink production relies on water in many ways. Soft drinks in particular rely on water as a base ingredient, which leads to water abstraction; although this accounts for only 1% of the water used in the entire soft drinks supply chain."
Production of forest and wood-based products,GHG emissions,H,"The use of heavy machinery, charcoal making and saw dust leachate at sites increase greenhouse gas emissions."
Production of forest and wood-based products,Soil pollutants,H,"The use of heavy machinery, charcoal production, and saw dust leachate at sites increase levels of soil pollution."
