ProductionProcess,ImpactDriver,Justification
Combustión incompleta,Uso de agua,"Se utilizan cantidades significativas de agua para el peletizado, el enfriamiento y la extinción de gases. Se estima que más de 3,3 galones de agua se utilizan para la producción de una libra de carbono negro."
Combustión incompleta,Uso de ecosistema terrestre,El uso de productos petrolíferos a altas temperaturas y presiones aumenta la probabilidad de explosión e incendio.
Combustión incompleta,Emisiones de GEI,Se emiten dióxido de carbono y otros gases de efecto invernadero indirectos en los procesos de combustión.
Combustión incompleta,Contaminantes atmosféricos no GEI,"En los procesos de combustión se emiten cuatro grandes contaminantes atmosféricos nocivos: 1) el disulfuro de carbono, 2) el sulfuro de carbonilo, 3) el cianuro de hidrógeno y 4) el monóxido de carbono."
Construcciones de infraestructura,Uso de agua,"La construcción de infraestructura puede aumentar la demanda de agua, lo que aumenta la presión sobre los suministros de agua en la zona local. La construcción de infraestructura puede provocar derrumbes que derivan de movimientos de tierra como la perforación y la excavación."
Construcciones de infraestructura,Uso de ecosistema terrestre,"La construcción puede dar lugar a la destrucción y degradación de los hábitats, lo que conduce a la pérdida de biodiversidad y capital natural en las obras de construcción y en las zonas circundantes. La construcción puede provocar inundaciones ya que las superficies duras reducen la capacidad de la tierra para absorber el agua de lluvia. El uso de vehículos y maquinaria pesada puede causar la compactación del suelo, lo que puede impedir el crecimiento de las raíces."
Construcciones de infraestructura,Uso de ecosistema de agua dulce,"La construcción puede dar lugar a la destrucción y degradación de los hábitats, lo que conduce a la pérdida de biodiversidad y capital natural en las obras de construcción y en las zonas circundantes."
Construcciones de infraestructura,Uso de ecosistema marino,"La construcción puede dar lugar a la destrucción y degradación de los hábitats, lo que conduce a la pérdida de biodiversidad y capital natural en las obras de construcción y en las zonas circundantes."
Construcciones de infraestructura,Emisiones de GEI,El uso de maquinaria pesada produce emisiones de gases de efecto invernadero.
Construcciones de infraestructura,Contaminantes atmosféricos no GEI,"Los proyectos de construcción pueden causar contaminación a través de la emisión de combustibles fósiles y los derrames de diesel, pinturas, solventes y químicos tóxicos. En algunas zonas del mundo, existen requisitos menos estrictos para la eliminación de los productos de desechos tóxicos de la construcción, lo que da lugar a importantes daños ambientales locales después de un proyecto de construcción."
Construcciones de infraestructura,Contaminantes del agua,"Los proyectos de construcción pueden causar contaminación a través de l los derrames de diesel, pinturas, solventes y químicos tóxicos. En algunas zonas del mundo, existen requisitos menos estrictos para la eliminación de los productos de desechos tóxicos de la construcción, lo que da lugar a importantes daños ambientales locales después de un proyecto de construcción."
Construcciones de infraestructura,Contaminantes del suelo,"Los proyectos de construcción pueden causar contaminación a través de los derrames de diesel, pinturas, solventes y químicos tóxicos. En algunas zonas del mundo, existen requisitos menos estrictos para la eliminación de los productos de desechos tóxicos de la construcción, lo que da lugar a importantes daños ambientales locales después de un proyecto de construcción."
Construcciones de infraestructura,Residuos sólidos,"Los procesos de construcción conducen a la creación de grandes volúmenes de residuos sólidos. Los tipos exactos de residuos sólidos producidos variarán, pero pueden incluir materiales residuales de producción como cemento, vidrio, metal, plástico, papel y cartón, madera, caucho y cuero."
Construcciones de infraestructura,Perturbaciones,"Los proyectos de construcción pueden dar lugar a altos niveles de contaminación acústica (por ejemplo, por la instalación de pilotes y el funcionamiento de la maquinaria), lo que puede afectar a las especies de las zonas circundantes."
Inversiones en infraestructura,Uso de agua,"Ciertos servicios pueden requerir agua que en algunos casos se extrae directamente de masas de agua locales (por ejemplo, unidades de servidores asociadas a instalaciones en la nube)."
Inversiones en infraestructura,Contaminantes atmosféricos no GEI,Los residuos y las descargas pueden estar presentes en el medio ambiente circundante. Las emisiones directas de las instalaciones contribuyen a la contaminación del medio ambiente.
Inversiones en infraestructura,Contaminantes del agua,Los residuos y las descargas pueden estar presentes en el medio ambiente circundante. Las emisiones directas de las instalaciones contribuyen a la contaminación del medio ambiente.
Inversiones en infraestructura,Contaminantes del suelo,Los residuos y las descargas pueden estar presentes en el medio ambiente circundante. Las emisiones directas de las instalaciones contribuyen a la contaminación del medio ambiente.
Inversiones en infraestructura,Residuos sólidos,"Las oficinas y los centros de servicios producen residuos, así como la falta de reciclaje de los materiales."
Contratos de mantenimiento de infraestructura,Uso de agua,"El mantenimiento de la infraestructura puede aumentar la demanda de agua, lo que aumenta la presión sobre los suministros de agua en el área local. Sin embargo, el aumento de la demanda no sería tan alto para el mantenimiento como para la construcción."
Contratos de mantenimiento de infraestructura,Uso de ecosistema terrestre,"El uso de vehículos y maquinaria pesada puede causar la compactación del suelo, lo que puede impedir el crecimiento de las raíces. No se espera que este impacto sea tan alto para el mantenimiento como lo sería para la construcción."
Contratos de mantenimiento de infraestructura,Emisiones de GEI,El uso de maquinaria pesada produce emisiones de gases de efecto invernadero. No se espera que este impacto sea tan alto para el mantenimiento como lo sería para la construcción.
Contratos de mantenimiento de infraestructura,Contaminantes atmosféricos no GEI,"El mantenimiento de la infraestructura puede causar contaminación por la emisión de combustibles fósiles y los derrames de diesel, pinturas, solventes y productos químicos tóxicos. En algunas zonas del mundo, existen requisitos menos estrictos para la eliminación de los productos de desechos tóxicos de la construcción, lo que da lugar a importantes daños ambientales locales después de un proyecto de construcción."
Contratos de mantenimiento de infraestructura,Contaminantes del agua,"El mantenimiento de la infraestructura puede causar contaminación por el derrame de diesel, pinturas, solventes y productos químicos tóxicos. En algunas zonas del mundo, existen requisitos menos estrictos para la eliminación de los productos de desechos tóxicos de la construcción, lo que da lugar a importantes daños ambientales locales después de un proyecto de construcción."
Contratos de mantenimiento de infraestructura,Contaminantes del suelo,"El mantenimiento de la infraestructura puede causar contaminación por el derrame de diesel, pinturas, solventes y productos químicos tóxicos. En algunas zonas del mundo, existen requisitos menos estrictos para la eliminación de los productos de desechos tóxicos de la construcción, lo que da lugar a importantes daños ambientales locales después de un proyecto de construcción."
Petróleo y gas integrados,Uso de agua,La extracción de agua a gran escala de los acuíferos subterráneos puede contribuir a las sequías.
Petróleo y gas integrados,Uso de ecosistema terrestre,"La construcción de tuberías e infraestructura puede dar lugar a la fragmentación del hábitat. La perforación y el uso de pozos de eliminación de aguas residuales pueden alterar las presiones en las fallas y causar actividad sísmica en las fallas inactivas. Debido a la naturaleza inflamable de los productos de petróleo y gas, existe un riesgo importante de incendio. Ciertos procesos de manufactura presentan un alto riesgo de explosión que pueden conducir a incendios localizados con la capacidad de extenderse a grandes áreas de tierra."
Petróleo y gas integrados,Uso de ecosistema de agua dulce,"La pérdida de vegetación puede perturbar la fauna de agua dulce al aumentar la fragmentación del hábitat, alterar el comportamiento de los animales y reducir la integridad ecológica de los sistemas. La actividad sísmica inducida por los métodos de producción también puede dar lugar a flujos masivos que alteren los paisajes."
Petróleo y gas integrados,Uso de ecosistema marino,"La perforación de petróleo en el mar es perturbadora y puede alterar los hábitats naturales. La producción de oleoductos e infraestructura puede dar lugar a la fragmentación del hábitat. El agua producida, los humos de escape, los fluidos de perforación emitidos y los derrames o pérdidas accidentales de productos pueden tener efectos químicos negativos en los hábitats, los ecosistemas y la atmósfera circundantes. Se estima que una plataforma de perforación descarga más de 90.000 toneladas métricas de fluidos de perforación y virutas de metal durante su vida útil."
Petróleo y gas integrados,Emisiones de GEI,"La liberación de carbono a partir de los incendios puede contribuir considerablemente a las emisiones de gases de efecto invernadero. Otros gases de efecto invernadero como el metano, el óxido nitroso, el clorofluorocarbono del ozono y los hidrofluorocarbonos se emiten a través de los procesos de producción de petróleo y gas. El transporte por camión, tren y barco genera la emisión de gases de efecto invernadero, que contribuyen a la contaminación atmosférica."
Petróleo y gas integrados,Contaminantes atmosféricos no GEI,"Los gases de escape, los fluidos de perforación emitidos y los derrames o pérdidas accidentales de productos pueden tener efectos químicos negativos en los hábitats, los ecosistemas y la atmósfera circundantes."
Petróleo y gas integrados,Contaminantes del agua,"El agua producida, los humos de escape, los fluidos de perforación emitidos y los derrames o pérdidas accidentales de productos pueden tener efectos químicos negativos en los hábitats locales, los ecosistemas y la atmósfera. Se estima que una plataforma de perforación descarga más de 90.000 toneladas métricas de fluidos de perforación y virutas de metal durante su vida útil. En los hábitats marinos, entre los posibles contaminantes se encuentran los recortes de perforación, los fluidos de perforación y el agua procesada, que pueden contaminar drásticamente el agua y matar la vegetación béntica y de agua dulce."
Petróleo y gas integrados,Contaminantes del suelo,"El agua producida, los humos de escape, los fluidos de perforación emitidos y los derrames o pérdidas accidentales de productos pueden tener efectos químicos negativos en los hábitats, los ecosistemas y la atmósfera circundantes. Se estima que una plataforma de perforación descarga más de 90.000 toneladas métricas de fluidos de perforación y virutas de metal durante su vida útil."
Petróleo y gas integrados,Residuos sólidos,"La deposición de los recortes de perforación puede dejar importantes escombros en áreas localizadas, causando cambios geológicos a escala localizada. La actividad sísmica utilizada en este proceso de producción también puede afectar a los flujos masivos de suelo, lo que puede alterar en gran medida los paisajes."
Petróleo y gas integrados,Perturbaciones,"La contaminación acústica causada por las actividades sísmicas o las perforaciones asociadas puede tener un impacto negativo en las rutas de migración y los hábitats de las especies, lo que puede dar lugar a cambios significativos en la población. La pérdida de acceso a las zonas de reproducción también puede dar lugar a la reducción de las poblaciones cercanas a los lugares de perforación. La contaminación lumínica de las instalaciones tiene un efecto similar en ciertas especies."
Extracción de hierro,Uso de agua,"El agua se utiliza en el beneficio por flotación, la fundición y la electro-refinería. La extracción de agua a gran escala de los acuíferos subterráneos puede contribuir a aumentar la probabilidad y/o la gravedad de las sequías."
Extracción de hierro,Uso de ecosistema terrestre,"El uso de maquinaria pesada, explosivos y líquidos inflamables en la extracción y el procesamiento asociado ha dado lugar a un aumento de los incendios no naturales en las instalaciones mineras de superficie. El aumento de la degradación del suelo y las actividades sísmicas en torno a las minas pueden dar lugar a deslizamientos de tierra. Se pueden introducir especies no nativas e invasoras en las instalaciones mediante vehículos y, en algunos casos, mediante programas de recuperación que utilizan semillas baratas y/o de rápido establecimiento."
Extracción de hierro,Emisiones de GEI,"El funcionamiento de los equipos libera óxido nitroso, dióxido de carbono y otros gases de efecto invernadero indirectos, contaminando la atmósfera."
Extracción de hierro,Contaminantes atmosféricos no GEI,"El funcionamiento de los equipos genera monóxido de carbono, dióxido de azufre y polvo fugitivo, contaminando la atmósfera."
Extracción de hierro,Perturbaciones,La perturbación causada por las operaciones puede tener efectos negativos en las poblaciones y provocar migraciones de especies a gran escala.
Producción de hierro,Uso de agua,"Las plantas siderúrgicas utilizan grandes cantidades de agua para la generación de vapor, el enfriamiento, la transferencia de residuos y el control del polvo. Esta agua suele extraerse directamente de fuentes de agua como los ríos. La extracción de agua a gran escala de los acuíferos subterráneos puede contribuir a experimentar sequías."
Producción de hierro,Emisiones de GEI,"El funcionamiento de los equipos genera óxido nitroso, dióxido de carbono y otros gases de efecto invernadero indirectos, contaminando la atmósfera."
Producción de hierro,Contaminantes atmosféricos no GEI,"El funcionamiento de los equipos genera monóxido de carbono, dióxido de azufre y polvo fugitivo, contaminando la atmósfera"
Producción de hierro,Contaminantes del agua,"El drenaje ácido de las minas también se produce por los procesos de beneficio, que pueden contaminar las masas de agua cercanas. Los metales pesados también pueden ser introducidos en los cursos de agua. Todos estos contaminantes pueden tener un impacto negativo sobre las especies y los hábitats cercanos."
Producción de hierro,Perturbaciones,Las perturbaciones generadas por las operaciones pueden tener efectos negativos en las poblaciones y provocar migraciones de especies a gran escala.
Producción de joyas,Contaminantes atmosféricos no GEI,"Los procesos de manufactura dan lugar a materiales residuales de producción, que incluyen emisiones gaseosas. La contaminación puede producirse como resultado del uso de ciertos materiales y sustancias como ácidos, solventes, gases comprimidos, colorantes, aglutinantes, soldaduras, pinturas, aceites y otros productos químicos."
Producción de joyas,Contaminantes del agua,"Los procesos de manufactura generan materiales residuales de producción, que incluyen emisiones líquidas. Pueden producirse otras formas de contaminación como resultado del uso de determinados materiales y sustancias como ácidos, disolventes, gases comprimidos, colorantes, aglutinantes, soldaduras, pinturas, aceites y otros productos químicos."
Producción de joyas,Contaminantes del suelo,"La contaminación puede producirse como resultado del uso de ciertos materiales y sustancias como ácidos, solventes, gases comprimidos, colorantes, aglutinantes, soldaduras, pinturas, aceites y otros productos químicos."
Producción de joyas,Residuos sólidos,"Los procesos de manufactura generan materiales residuales de producción, entre los que se incluyen materiales de desecho, algunos de los cuales se reutilizan o reciclan."
Silvicultura a gran escala,Uso de ecosistema terrestre,"La tala para la silvicultura puede dar lugar a: 1) la degradación del hábitat a gran escala, 2) la alteración de las poblaciones de especies debido a la eliminación de los bosques y su sustitución por especies exóticas (por ejemplo, mayor número de plagas, menor número de especies endémicas), 3) un mayor riesgo de incendios debido a la exposición de los bosques adyacentes no cortados o de los restos de vegetación, 4) un aumento de la degradación y la erosión del suelo debido a la compactación, la exposición y los daños mecánicos, que alteran las propiedades del suelo y la vegetación, 5) un mayor riesgo de deslizamientos de tierra."
Silvicultura a gran escala,Emisiones de GEI,"El uso de maquinaria pesada, la fabricación de carbón vegetal y el lixiviado de aserrín en las instalaciones aumenta las emisiones de gases de efecto invernadero."
Silvicultura a gran escala,Contaminantes del agua,"El uso de maquinaria pesada, la fabricación de carbón vegetal y el lixiviado de aserrín en las instalaciones aumenta los niveles de contaminación del agua"
Cultivos herbáceos irrigados a gran escala,Uso de agua,"La irrigación de los cultivos herbáceos da lugar a una importante huella hídrica, que puede ser no sostenible en muchas zonas del mundo. "
Cultivos herbáceos irrigados a gran escala,Uso de ecosistema terrestre,La expansión de los cultivos herbáceos irrigados ha dado lugar a una mayor modificación del hábitat y a la conversión de los hábitats naturales en tierras de cultivo.
Cultivos herbáceos irrigados a gran escala,Uso de ecosistema de agua dulce,"La expansión de los cultivos herbáceos irrigados ha dado lugar a un aumento de la modificación de los hábitats, en particular mediante el drenaje (por ejemplo, de los humedales) y la conversión de los hábitats naturales en tierras de cultivo. El drenaje de los humedales para el riego puede dar lugar a un aumento de la propagación y el asentamiento de especies invasoras."
Cultivos herbáceos irrigados a gran escala,Contaminantes del agua,"El uso de herbicidas y plaguicidas para los cultivos herbáceos provoca una contaminación ambiental considerable, en particular de las masas de agua cercanas (aguas superficiales y subterráneas) y de los suelos."
Cultivos herbáceos irrigados a gran escala,Contaminantes del suelo,"El uso de herbicidas y plaguicidas para cultivos herbáceos provoca una importante contaminación ambiental, en particular de los suelos."
Ganadería a gran escala (carne y leche),Uso de agua,"La producción de carne de vacuno y productos lácteos tiene una importante huella hídrica. La producción lechera, por ejemplo, se estima en 1.000 litros de agua por litro de leche en toda la cadena de suministro. La extracción de agua, para la producción de carne de vacuno o para sostener a las vacas lecheras y mantener sus pastos, puede contribuir a la tensión hídrica local. Cuando esto coincide con condiciones climáticas adversas, puede aumentar el riesgo de sequía."
Ganadería a gran escala (carne y leche),Uso de ecosistema terrestre,"Grandes áreas de tierra son despejadas y convertidas para la cría de ganado vacuno y lechero. La cría de ganado para la producción de carne de vacuno está vinculada a la agricultura intensiva de cultivos utilizados en la alimentación, como la soya."
Ganadería a gran escala (carne y leche),Emisiones de GEI,"Las emisiones de gases de efecto invernadero, en particular el metano, de las vacas de carne y leche provocan niveles más altos de contaminación atmosférica. "
Ganadería a gran escala (carne y leche),Contaminantes del agua,"Si no se trata, la escorrentía de las granjas de vacuno y lácteos (por ejemplo, de nutrientes y estiércol) provoca un aumento significativo de la contaminación de las masas de agua. "
Ganadería a gran escala (carne y leche),Contaminantes del suelo,"Si no se trata, la escorrentía de las granjas de ganado vacuno y lechero (por ejemplo, de nutrientes y estiércol) conduce a un aumento significativo de la contaminación de los suelos. La ganadería y la producción lechera aceleran considerablemente la erosión del suelo en todo el mundo."
Cultivos herbáceos de secano a gran escala,Uso de ecosistema terrestre,"La expansión de la agricultura en las zonas que dependen del agua de lluvia como fuente de agua, conduce a la conversión y degradación de los hábitats naturales. Las prácticas de gestión deficientes en los sistemas agrícolas de secano provocan un aumento de la erosión del suelo y una disminución de la humedad del suelo. Los cultivos agrícolas de secano pueden reducir la gravedad de las inundaciones cuando se adoptan prácticas adecuadas en la gestión del suelo."
Cultivos herbáceos de secano a gran escala,Uso de otros recursos,La selección preferencial de especies de cultivos para satisfacer la demanda de los consumidores conduce a una reducción de la diversidad genética.
Cultivos herbáceos de secano a gran escala,Contaminantes del agua,"El uso de herbicidas y plaguicidas para los cultivos herbáceos provoca una contaminación ambiental considerable, en particular de las masas de agua cercanas (aguas superficiales y subterráneas) y los suelos."
Cultivos herbáceos de secano a gran escala,Contaminantes del suelo,"El uso de herbicidas y plaguicidas para los cultivos herbáceos provoca una importante contaminación ambiental, en particular de los suelos. "
Prestaciones de instalaciones de entretenimiento,Residuos sólidos,"Las oficinas y los centros de servicios producen residuos, así como la falta de reciclaje de los materiales. "
"Fabricación en ciencias de la vida, farmacia y biotecnología",Uso de agua,Los procesos e instalaciones de manufactura utilizan agua en todas sus operaciones para la producción.
"Fabricación en ciencias de la vida, farmacia y biotecnología",Contaminantes atmosféricos no GEI,"En los procesos de manufactura, entre los posibles contaminantes figuran las emisiones gaseosas."
"Fabricación en ciencias de la vida, farmacia y biotecnología",Contaminantes del agua,"Los productos químicos utilizados en la producción pueden contribuir a la contaminación ambiental si no se manejan de manera segura. Concretamente, los desechos y las aguas residuales de la producción pueden contener sustancias eutrofizante, metales pesados o ingredientes farmacéuticos activos, que pueden provocar la contaminación de los sedimentos de los ríos y del agua superficial, subterránea y potable. Las descargas desde los puntos de manufactura han sido relacionadas con los cambios en la población de la biota expuesta, al intoxicar a algunos ejemplares o causar cambios significativos en la fisiología animal."
"Fabricación en ciencias de la vida, farmacia y biotecnología",Contaminantes del suelo,"En muchos países, las descargas de las unidades de manufactura han dado lugar a la contaminación de los suelos irrigados. El envasado y los productos químicos utilizados en los procesos de producción pueden contribuir a la contaminación del medio ambiente si no se manejan correctamente."
"Fabricación en ciencias de la vida, farmacia y biotecnología",Residuos sólidos,"Los procesos de manufactura pueden producir material de desecho (algunos de los cuales pueden ser reutilizados o reciclados). Los envases y otros materiales de desecho utilizados en los procesos de producción, o creados a través de ellos, pueden contribuir a la contaminación ambiental si no se manejan correctamente."
"Herramientas y servicios en ciencias biológicas, farmacia y biotecnología",Residuos sólidos,"Los laboratorios y oficinas producen residuos, así como la ausencia de reciclado de los materiales."
Atención médica controlada,Emisiones de GEI,Las emisiones de gas de efecto invernadero procedentes de los centros de salud pueden contaminar el aire.
Atención médica controlada,Contaminantes del agua,"Los desechos de productos (por ejemplo, productos químicos) pueden tener impactos ambientales significativos."
Atención médica controlada,Contaminantes del suelo,"Los desechos de productos (por ejemplo, productos químicos) pueden tener impactos ambientales significativos."
"Fabricación de maquinaria, partes y equipamientos",Uso de agua,"Las plantas y procesos de fabricación usan agua en sus operaciones de producción; por ejemplo, se utiliza agua superficial para enfriar las máquinas soldadoras de carrocerías durante la producción de automóviles. Según las condiciones del sitio, algunos proponentes pueden obtener esta agua directamente de los cursos de agua locales, mientras que otros pueden obtenerla de las empresas de abastecimiento de agua. En este último caso, se considera que el impacto se produce bajo el respectivo proceso de producción y distribución de agua. "
"Fabricación de maquinaria, partes y equipamientos",Emisiones de GEI,Las emisiones de gas de efecto invernadero procedentes de procesos de fabricación y producción tales como la quema de carbón y el enfriamiento contribuyen a la contaminación del aire.
"Fabricación de maquinaria, partes y equipamientos",Contaminantes atmosféricos no GEI,"Los gases y partículas generados por procesos de fabricación y producción tales como la quema de carbón y el enfriamiento contribuyen a la contaminación del aire. Asimismo, se pueden liberar a la atmósfera productos químicos nocivos, tales como óxidos de sulfuro y nitrógeno, los cuales afectan el ambiente bajo la forma de una lluvia ácida. "
"Fabricación de maquinaria, partes y equipamientos",Contaminantes del agua,"El uso de materiales tóxicos y persistentes en la fabricación de productos electrónicos, materiales y armas de alta tecnología, puede causar la contaminación de ambientes naturales. Se puede producir contaminación como resultado del uso de ciertos materiales y sustancias tales como ácidos, solventes, gases comprimidos, colorantes, aglutinantes, soldaduras, pinturas, aceites y otros productos químicos. Las aguas residuales resultantes de los procesos de enfriamiento y limpieza pueden aumentar los niveles de toxicidad en los ambientes acuáticos. "
"Fabricación de maquinaria, partes y equipamientos",Contaminantes del suelo,"El uso de materiales tóxicos y persistentes en la fabricación de productos electrónicos, materiales y armas de alta tecnología, puede causar la contaminación de ambientes naturales. Se puede producir contaminación como resultado del uso de ciertos materiales y sustancias tales como ácidos, solventes, gases comprimidos, colorantes, aglutinantes, soldaduras, pinturas, aceites y otros productos químicos. Las aguas residuales resultantes de los procesos de enfriamiento y limpieza pueden aumentar los niveles de toxicidad en el suelo. "
"Fabricación de maquinaria, partes y equipamientos",Residuos sólidos,"Los procesos de producción y fabricación generan grandes volúmenes de desechos sólidos. Los tipos exactos de desechos sólidos que se generen variarán, pero pueden incluir materiales residuales de producción (MARP) tales como vidrio, metal, plástico, papel y cartón, madera, y caucho y cuero. "
Puertos y servicios marinos,Uso de ecosistema terrestre,Algunas sustancias transportadas y almacenadas pueden crear riesgos de incendio.
Puertos y servicios marinos,Uso de ecosistema de agua dulce,Los puertos requieren constantes actividades de dragado para mantenerse operativos; la construcción de puertos en ríos tiene un impacto en los ecosistemas de agua dulce.
Puertos y servicios marinos,Uso de ecosistema marino,Los puertos requieren constantes actividades de dragado para mantenerse operativos; la construcción de puertos en litorales tiene un impacto en los ecosistemas marinos.
Puertos y servicios marinos,Emisiones de GEI,"La contaminación del aire puede ser causada por actividades asociadas con el embarque, tales como tráfico vehicular y ferroviario, carga y descarga, desguace o modificación de buques, movimientos de los buques en los puertos, actividades de los buques durante la fase de estacionamiento (hotelling) (iluminación, calefacción, refrigeración, ventilación). Las emisiones portuarias no solo son causadas por los buques, sino también por la manipulación de vehículos y carga. Los compuestos de azufre y nitrógeno emitidos por los buques se oxidan en la atmósfera formando sulfatos y nitratos, lo que contribuye a la acidificación. "
Puertos y servicios marinos,Contaminantes del agua,"Se puede producir contaminación del agua en los puertos y sus alrededores, por ejemplo como resultado de derrames de petróleo y productos químicos procedentes de barcos y productos y la lixiviación de pinturas antiincrustantes. El agua también puede contaminarse con desechos y basura y como resultado de los procesos de dragado requeridos para mantener los puertos. "
Puertos y servicios marinos,Contaminantes del suelo,Pueden producirse cambios en la química de los suelos como resultado de la mezcla de suelos debido a actividades de excavación y almacenamiento durante los procesos de mantenimiento. Los suelos también pueden contaminarse con desechos y basura y como resultado de los procesos de dragado requeridos para mantener los puertos.
Puertos y servicios marinos,Residuos sólidos,"Los edificios de oficinas asociados con la prestación de servicios generan grandes volúmenes de desechos sólidos que incrementan los desechos sólidos municipales. Los tipos exactos de desechos sólidos que se generen variarán, pero pueden incluir materiales residuales de producción (MARP) tales como vidrio, metal, plástico, papel y cartón, madera, y caucho y cuero. "
Puertos y servicios marinos,Perturbaciones,"Asimismo, se produce contaminación acústica en los puertos, la cual es causada por muchas fuentes tales como motores de buque, grúas, camiones. Además, las maquinarias generan ruidos en el aire circundante y también inducen vibraciones al interior de cualquier estructura a la que se encuentren conectadas. El ruido puede ser transmitido por el agua, el aire o las estructuras. La contaminación acústica más significativa en los puertos es el ruido transmitido por el aire y el ruido ambiental en áreas exteriores. "
Transporte marino,Uso de ecosistema marino,El dragado de sedimentos marinos para mejorar las vías fluviales puede reducir la disponibilidad de sedimentos como un recurso valioso.
Transporte marino,Emisiones de GEI,"Se puede producir contaminación del aire como resultado del movimiento de buques en puertos y las actividades de los buques durante la fase de estacionamiento (hotelling). Los compuestos de azufre y nitrógeno emitidos por los buques se oxidan en la atmósfera formando sulfatos y nitratos, lo que contribuye a la acidificación. "
Transporte marino,Contaminantes del agua,"El agua puede contaminarse como resultado de: 1) lavado de barcos, que afecta la calidad del agua debido a la erosión intermareal de estuarios, resuspensión de sedimentos y turbidez; 2) fugas de petróleo y combustible de motores y carga; 3) derrame de pinturas antiincrustantes; 4) compuestos químicos emitidos por maquinaria y motores de buque (por ejemplo, óxidos de nitrógeno, monóxido de carbono, ozono y dióxido de sulfuro); 5) producción de polvo y otros desechos como resultado de manipulación; 6) dragado para mejorar las vías fluviales, lo que puede reintroducir sustancias contaminadas."
Transporte marino,Contaminantes del suelo,Pueden producirse cambios en la química de los suelos como resultado de la mezcla de suelos debido a actividades de excavación y almacenamiento durante la construcción de instalaciones de transporte marítimo.
Transporte marino,Perturbaciones,"El transporte marítimo puede producir contaminación acústica. El ruido puede ser transmitido por el agua, el aire o las estructuras. La contaminación acústica más significativa en los puertos es el ruido transmitido por el aire y el ruido ambiental en áreas exteriores. El ruido asociado con la manipulación de carga puede perturbar a los animales y las aves que habitan en el ambiente marino. "
Tecnología de membranas,Emisiones de GEI,Las emisiones de carbono producto de la generación de alta presión para separar elementos contribuyen a la contaminación atmosférica.
Procesamiento de metales,Uso de agua,"Se utiliza agua en las operaciones de procesamiento de diferentes maneras, incluidas las funciones de control de contaminación del aire y el agua de enfriamiento. "
Procesamiento de metales,Emisiones de GEI,"Los posibles contaminantes del aire asociados a gases de efecto invernadero emitidos directamente durante el procesamiento de metales pueden incluir dióxido de carbono, óxidos de nitrógeno, hexafluoruros de azufre y dióxido de sulfuro. "
Procesamiento de metales,Contaminantes atmosféricos no GEI,"Los posibles contaminantes del aire no asociados a gases de efecto invernadero pueden incluir monóxido de carbono, plomo, compuestos orgánicos volátiles (COV) y material particulado (MP). "
Procesamiento de metales,Contaminantes del agua,"Podría descargarse agua de proceso, transportando agua contaminada hacia los sistemas de agua natural."
Procesamiento de metales,Contaminantes del suelo,"La tierra en los sitios podría estar contaminada con sustancias nocivas tales como aceites y alquitranes, metales pesados, asbestos y productos químicos. "
Procesamiento de metales,Residuos sólidos,"Se generan desechos sólidos en múltiples etapas del procesamiento de metales. Los productos de desecho pueden incluir desde polvos y sustancias específicas (por ejemplo, “arenas verdes”) hasta envases y baterías usadas de plomo-ácido. "
Minería,Uso de agua,"Se utiliza agua prácticamente en todas las etapas del proceso de minado. Las actividades con el uso más intensivo de agua son el enfriamiento de la maquinaria de perforación y la supresión de polvo. Se requieren grandes volúmenes de agua para crear soluciones de lixiviación para el calcio sólido y el cianuro de sodio. La minería a cielo abierto puede producir el agotamiento de los acuíferos para poder acceder a los filones y garantizar la seguridad de la extracción. La extracción de agua producto de la operación de minado consume las reservas estáticas y dinámicas de los acuíferos, lo que aumenta la severidad y/o frecuencia de las sequías. "
Minería,Uso de ecosistema terrestre,"Las prácticas mineras pueden degradar y fragmentar severamente los hábitats. La degradación del suelo y la actividad sísmica pueden provocar desprendimientos de tierra y hundimientos, en particular en la minería subterránea. Los vehículos y, en algunos casos, los programas de recuperación que emplean semillas de bajo costo y/o de rápido establecimiento pueden introducir especies no nativas e invasoras a los sitios. El uso de maquinaria pesada, explosivos y líquidos inflamables en las actividades de extracción y procesamiento puede aumentar la ocurrencia de incendios no naturales en las minas a cielo abierto. "
Minería,Uso de ecosistema de agua dulce,"Las minas pueden filtrar aguas residuales acidificadas o contener altas concentraciones de metales pesados y otros productos químicos tóxicos (por ejemplo, ácido sulfúrico, cianuro, mercurio, arsénico). Estos productos pueden tener un impacto negativo en los hábitats y especies acuáticos y basados en el suelo, por ejemplo, al matar la vegetación del área de propagación. Los efectos son muy destructivos en humedales altamente sensibles a los cambios de pH. Las nubes de polvo y la deposición de minerales procedentes de las minas pueden alterar las características del suelo, volviéndolo inadecuado para la vegetación nativa. "
Minería,Emisiones de GEI,"Puede producirse contaminación atmosférica como resultado de la emisión de gases de efecto invernadero, tales como el metano y el dióxido de carbono, durante los procesos de extracción. Por ejemplo, determinadas sustancias pueden autocombustionar bajo específicas condiciones oxidativas y de alto contenido de sulfuro, originando la liberación de metano y otros gases de efecto invernadero que contribuyen a la contaminación atmosférica. "
