Process,Ecosystem Service,RAG,Justification
Producción de energía geotérmica,Biorremediación,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Producción de energía geotérmica,Regulación climática,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Producción de energía geotérmica,Mantenimiento del flujo de agua,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Producción de energía geotérmica,Protección contra inundaciones y tormentas,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Producción de energía geotérmica,Agua subterránea,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Fabricación de vidrio,Mantenimiento del flujo de agua,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Fabricación de vidrio,Agua subterránea,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Fabricación de vidrio,Agua superficial,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Suministro para hoteles y resorts,Fibras y otros materiales,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos"
Suministro para hoteles y resorts,Estabilización de masa y control de la erosión,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Suministro para hoteles y resorts,Calidad del agua,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Suministro para hoteles y resorts,Regulación climática,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Suministro para hoteles y resorts,Protección contra inundaciones y tormentas,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Suministro para hoteles y resorts,Agua subterránea,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción 
Suministro para hoteles y resorts,Agua superficial,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción 
Producción de artículos para el hogar y especialidades,Agua subterránea,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos"
Producción de artículos para el hogar y especialidades,Dilución por la atmósfera y los ecosistemas,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Producción de artículos para el hogar y especialidades,Agua superficial,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Producción de energía hidroeléctrica,Calidad del agua,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Producción de energía hidroeléctrica,Filtración,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Producción de energía hidroeléctrica,Biorremediación,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Producción de energía hidroeléctrica,Agua subterránea,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Producción de energía hidroeléctrica,Estabilización de masa y control de la erosión,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción 
Producción de energía hidroeléctrica,Protección contra inundaciones y tormentas,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Producción de energía hidroeléctrica,Agua superficial,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Producción de energía hidroeléctrica,Mantenimiento del flujo de agua,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Producción de energía hidroeléctrica,Regulación climática,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Combustión incompleta,Regulación climática,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Combustión incompleta,Estabilización de masa y control de la erosión,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Combustión incompleta,Ventilación,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Combustión incompleta,Agua subterránea,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Combustión incompleta,Agua superficial,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Construcción de infraestructura,Estabilización de masa y control de la erosión,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos de protección"
Empresas de infraestructura,Biorremediación,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Empresas de infraestructura,Estabilización de masa y control de la erosión,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Contratos para mantenimiento de infraestructura,Filtración,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Contratos para mantenimiento de infraestructura,Biorremediación,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Contratos para mantenimiento de infraestructura,Mediación de impactos sensoriales,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Contratos para mantenimiento de infraestructura,Ventilación,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Contratos para mantenimiento de infraestructura,Control de plagas,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Contratos para mantenimiento de infraestructura,Calidad del suelo,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Contratos para mantenimiento de infraestructura,Mantenimiento del flujo de agua,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Contratos para mantenimiento de infraestructura,Regulación climática,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Contratos para mantenimiento de infraestructura,Protección contra inundaciones y tormentas,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Petróleo y gas integrados,Filtración,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de soluciones de mitigación de impactos"
Petróleo y gas integrados,Estabilización de masa y control de la erosión,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos de protección"
Petróleo y gas integrados,Regulación climática,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos de protección"
Petróleo y gas integrados,Agua superficial,H,El servicio ecosistémico es crítico e irremplazable en el proceso de producción 
Petróleo y gas integrados,Biorremediación,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Petróleo y gas integrados,Protección contra inundaciones y tormentas,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Petróleo y gas integrados,Calidad del agua,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción 
Petróleo y gas integrados,Agua subterránea,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Extracción de hierro,Estabilización de masa y control de la erosión,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos de protección"
Extracción de hierro,Agua subterránea,H,El servicio ecosistémico es crítico e irremplazable en el proceso de producción 
Extracción de hierro,Agua superficial,H,El servicio ecosistémico es crítico e irremplazable en el proceso de producción 
Extracción de hierro,Mantenimiento del flujo de agua,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Extracción de hierro,Regulación climática,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Producción de hierro,Agua subterránea,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos"
Producción de hierro,Agua superficial,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos"
Producción de hierro,Mantenimiento del flujo de agua,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos"
Producción de hierro,Estabilización de masa y control de la erosión,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Producción de hierro,Regulación climática,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Producción de joyas,Mantenimiento del flujo de agua,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos"
Producción de joyas,Filtración,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Producción de joyas,Biorremediación,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Producción de joyas,Dilución por la atmósfera y los ecosistemas,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Producción de joyas,Calidad del agua,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Producción de joyas,Estabilización de masa y control de la erosión,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Producción de joyas,Protección contra inundaciones y tormentas,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Producción de joyas,Fibras y otros materiales,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico.  A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos."
Producción de joyas,Agua subterránea,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Producción de joyas,Agua superficial,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Silvicultura a gran escala,Mantenimiento del flujo de agua,H,El servicio ecosistémico es crítico e irremplazable en el proceso de producción
Silvicultura a gran escala,Energía de origen animal,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Silvicultura a gran escala,Filtración,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Silvicultura a gran escala,Biorremediación,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Silvicultura a gran escala,Control de plagas,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Silvicultura a gran escala,Control de enfermedades,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Silvicultura a gran escala,Polinización,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción 
Silvicultura a gran escala,Calidad del suelo,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción 
Silvicultura a gran escala,Fibras y otros materiales,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Silvicultura a gran escala,Agua subterránea,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Silvicultura a gran escala,Agua superficial,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Silvicultura a gran escala,Estabilización de masa y control de la erosión,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Silvicultura a gran escala,Protección contra inundaciones y tormentas,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Silvicultura a gran escala,Regulación climática,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Cultivos herbáceos con riego en gran escala,Filtración,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de soluciones de mitigación de impactos"
Cultivos herbáceos con riego en gran escala,Mantenimiento del flujo de agua,H,El servicio ecosistémico es crítico e irremplazable en el proceso de producción
Cultivos herbáceos con riego en gran escala,Agua superficial,H,El servicio ecosistémico es crítico e irremplazable en el proceso de producción 
Cultivos herbáceos con riego en gran escala,Energía de origen animal,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Cultivos herbáceos con riego en gran escala,Dilución por la atmósfera y los ecosistemas,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Cultivos herbáceos con riego en gran escala,Fibras y otros materiales,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico. A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos"
Cultivos herbáceos con riego en gran escala,Polinización,H,"El proceso de producción puede llevarse a cabo con cierta perturbación del servicio ecosistémico, pero la gran cantidad de servicios ecosistémicos necesarios para el proceso de producción hace que esto represente un alto riesgo"
Cultivos herbáceos con riego en gran escala,Calidad del suelo,H,"El proceso de producción puede llevarse a cabo con cierta perturbación del servicio ecosistémico, pero la gran cantidad de servicios ecosistémicos necesarios para el proceso de producción hace que esto represente un alto riesgo"
Cultivos herbáceos con riego en gran escala,Calidad del agua,H,"El proceso de producción puede llevarse a cabo con cierta perturbación del servicio ecosistémico, pero la gran cantidad de servicios ecosistémicos necesarios para el proceso de producción hace que esto represente un alto riesgo"
Cultivos herbáceos con riego en gran escala,Amortiguamiento y atenuación de los flujos de masa,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción 
Cultivos herbáceos con riego en gran escala,Regulación climática,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción 
Cultivos herbáceos con riego en gran escala,Control de plagas,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Cultivos herbáceos con riego en gran escala,Control de enfermedades,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Cultivos herbáceos con riego en gran escala,Ventilación,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Cultivos herbáceos con riego en gran escala,Materiales genéticos,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Cultivos herbáceos con riego en gran escala,Biorremediación,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Cultivos herbáceos con riego en gran escala,Agua subterránea,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Cultivos herbáceos con riego en gran escala,Estabilización de masa y control de la erosión,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Cultivos herbáceos con riego en gran escala,Protección contra inundaciones y tormentas,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Ganadería a gran escala (carne de vacuno y productos lácteos),Filtración,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de soluciones de mitigación de impactos"
Ganadería a gran escala (carne de vacuno y productos lácteos),Biorremediación,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de soluciones de mitigación de impactos"
Ganadería a gran escala (carne de vacuno y productos lácteos),Protección contra inundaciones y tormentas,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos de protección"
Ganadería a gran escala (carne de vacuno y productos lácteos),Calidad del agua,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos"
Ganadería a gran escala (carne de vacuno y productos lácteos),Control de plagas,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
Ganadería a gran escala (carne de vacuno y productos lácteos),Dilución por la atmósfera y los ecosistemas,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Ganadería a gran escala (carne de vacuno y productos lácteos),Mediación de impactos sensoriales,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Ganadería a gran escala (carne de vacuno y productos lácteos),Amortiguamiento y atenuación de los flujos de masa,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Ganadería a gran escala (carne de vacuno y productos lácteos),Estabilización de masa y control de la erosión,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Ganadería a gran escala (carne de vacuno y productos lácteos),Materiales genéticos,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Ganadería a gran escala (carne de vacuno y productos lácteos),Ventilación,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Ganadería a gran escala (carne de vacuno y productos lácteos),Polinización,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Ganadería a gran escala (carne de vacuno y productos lácteos),Control de enfermedades,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Ganadería a gran escala (carne de vacuno y productos lácteos),Mantenimiento del flujo de agua,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Ganadería a gran escala (carne de vacuno y productos lácteos),Regulación climática,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Ganadería a gran escala (carne de vacuno y productos lácteos),Calidad del suelo,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción 
Ganadería a gran escala (carne de vacuno y productos lácteos),Fibras y otros materiales,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Ganadería a gran escala (carne de vacuno y productos lácteos),Agua subterránea,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Ganadería a gran escala (carne de vacuno y productos lácteos),Agua superficial,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Cultivos herbáceos de secano a gran escala,Filtración,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de soluciones de mitigación de impactos"
Cultivos herbáceos de secano a gran escala,Dilución por la atmósfera y los ecosistemas,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de soluciones de mitigación de impactos"
Cultivos herbáceos de secano a gran escala,Mantenimiento del flujo de agua,H,El servicio ecosistémico es crítico e irremplazable en el proceso de producción
Cultivos herbáceos de secano a gran escala,Ventilación,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Cultivos herbáceos de secano a gran escala,Calidad del agua,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Cultivos herbáceos de secano a gran escala,Fibras y otros materiales,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico.  A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos"
Cultivos herbáceos de secano a gran escala,Agua superficial,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico. A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos"
Cultivos herbáceos de secano a gran escala,Polinización,H,"El proceso de producción puede llevarse a cabo con cierta perturbación del servicio ecosistémico, pero la gran cantidad de servicios ecosistémicos necesarios para el proceso de producción hace que esto represente un alto riesgo"
Cultivos herbáceos de secano a gran escala,Calidad del suelo,H,"El proceso de producción puede llevarse a cabo con cierta perturbación del servicio ecosistémico, pero la gran cantidad de servicios ecosistémicos necesarios para el proceso de producción hace que esto represente un alto riesgo"
Cultivos herbáceos de secano a gran escala,Amortiguamiento y atenuación de los flujos de masa,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción 
Cultivos herbáceos de secano a gran escala,Regulación climática,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción 
Cultivos herbáceos de secano a gran escala,Control de plagas,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Cultivos herbáceos de secano a gran escala,Control de enfermedades,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Cultivos herbáceos de secano a gran escala,Materiales genéticos,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Cultivos herbáceos de secano a gran escala,Biorremediación,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Cultivos herbáceos de secano a gran escala,Estabilización de masa y control de la erosión,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Cultivos herbáceos de secano a gran escala,Protección contra inundaciones y tormentas,VH,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción
Cultivos herbáceos de secano a gran escala,Energía de origen animal,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Provisión de instalaciones para recreación,Calidad del agua,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
Provisión de instalaciones para recreación,Estabilización de masa y control de la erosión,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Provisión de instalaciones para recreación,Agua subterránea,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
Provisión de instalaciones para recreación,Protección contra inundaciones y tormentas,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
Provisión de instalaciones para recreación,Agua superficial,H,El proceso de producción es extremadamente vulnerable a las perturbaciones. El grado de protección que ofrece el servicio ecosistémico es crítico e irremplazable para el proceso de producción 
"Ciencias de la vida, farmacia y manufactura de biotecnología",Materiales genéticos,M,"A pesar de ser menos práctico, el proceso de producción puede tener lugar sin el servicio ecosistémico debido a la disponibilidad de sustitutos"
"Ciencias de la vida, farmacia y manufactura de biotecnología",Agua superficial,H,El servicio ecosistémico es crítico e irremplazable en el proceso de producción 
"Ciencias de la vida, farmacia y manufactura de biotecnología",Calidad del agua,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
"Ciencias de la vida, farmacia y manufactura de biotecnología",Filtración,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico"
"Ciencias de la vida, farmacia y manufactura de biotecnología",Biorremediación,VL,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico "
"Ciencias de la vida, farmacia y manufactura de biotecnología",Estabilización de masa y control de la erosión,L,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo incluso con una perturbación total del servicio ecosistémico debido a la resistencia del proceso de producción a las perturbaciones"
"Ciencias de la vida, farmacia y manufactura de biotecnología",Mantenimiento del flujo de agua,M,"La mayor parte del tiempo, el proceso de producción puede llevarse a cabo con una perturbación limitada (pero no total) del servicio ecosistémico"
