Ecosystem service,Asset,Driver,Influence,Justification,Likely Response,Effect on Variability,Human action or natural variation,Timescale,Spatial Characteristics
Fibras y otros materiales,Especies,Enfermedades,R,"Los vectores de enfermedades y los patógenos pueden impactar en todas las especies y causar cambios drásticos en la estructura de las comunidades, en la función y los servicios ecosistémicos de la biodiversidad y en la salud humana. Sin embargo, las respuestas individuales a las enfermedades varían según la especie. Una mayor conectividad de las poblaciones humanas mundiales ha aumentado la frecuencia y la magnitud de los brotes de enfermedades.","Los patógenos se propagan en condiciones climáticas favorables, por ejemplo, alta humedad y precipitación.",Producción considerablemente disminuida y/o calidad de la producción afectada debido al daño al grano de cereal.,Variación natural ,Corto plazo,Global
Fibras y otros materiales,Hábitats,Sequías ,R,"Los hábitats son altamente susceptibles a las sequías, ya que los desbalances hídricos provocan la probabilidad de enfermedades, incendios, erosión eólica, infestación por insectos y pérdidas en la productividad vegetal. Las sequías se han vuelto más intensas y frecuentes en los últimos 50 años y se proyecta que esta tendencia seguirá durante los próximos 100 años, lo que aumentará las presiones negativas sobre los hábitats.","Las temperaturas crecientes impulsadas por el cambio climático, los cambios en los patrones de lluvia y un aumento en los eventos climáticos extremos amenazan la producción agrícola de forraje.","Los modelos sugieren riesgos sustanciales a la volatilidad del volumen y a la calidad de las cadenas de suministro de alimentación para animales, a pesar de algunos incrementos en la productividad.",Acción humana,Largo plazo,Global
Fibras y otros materiales,Hábitats,Sequías ,R,"Los hábitats son altamente susceptibles a las sequías, ya que los desbalances hídricos provocan la probabilidad de enfermedades, incendios, erosión eólica, infestación por insectos y pérdidas en la productividad vegetal. Las sequías se han vuelto más intensivas  y frecuentes en los últimos 50 años y se proyecta que esta tendencia seguirá durante los próximos 100 años, lo que aumentará las presiones negativas sobre los hábitats.","Las temperaturas crecientes y los patrones de lluvia cambiantes crean el riesgo de una mala cosecha, por ejemplo, la ola de calor rusa en 2010 y la sequía del Medio Oeste de los EE.UU. en 2012.","Producciones decrecientes de cereales, lo que contribuye a mayores precios de los alimentos y a una demanda mayor que la oferta.",Acción humana,Largo plazo ,Global
Fibras y otros materiales,Especies,Sequías,A,Las especies son altamente susceptibles a las sequías ya que la mayoría depende de los recursos hídricos para sobrevivir. Se ha observado que las sequías han aumentado en frecuencia e intensidad durante los últimos 60 años y se espera que incrementarán durante los próximos 100.,"Las temperaturas crecientes impulsadas por el cambio climático, los cambios en los patrones de lluvia y un aumento en los eventos climáticos extremos amenazan la producción agrícola de forraje.","Los modelos sugieren riesgos sustanciales a la volatilidad del volumen y a la calidad de cadenas de suministro de alimentación para animales, a pesar de algunos incrementos en la productividad.",Acción humana,Largo plazo,Global
Fibras y otros materiales,Especies,Sequías  ,A,Las especies son altamente susceptibles a las sequías ya que la mayoría depende de los recursos hídricos para sobrevivir. Se ha observado que las sequías aumentaron en frecuencia e intensidad durante los últimos 60 años y se espera que aumentarán durante los próximos 100.,"Las temperaturas crecientes y los patrones de lluvia cambiantes crean el riesgo de una mala cosecha, por ejemplo, la ola de calor rusa en 2010 y la sequía del Medio Oeste de los EE.UU. en 2012.","Producciones decrecientes de cereales, lo que contribuye a mayores precios de los alimentos y a una demanda mayor que la oferta.",Acción humana,Largo plazo,Global
Fibras y otros materiales,Hábitats,Incendio,R,"En el corto plazo, los incendios reducen rápidamente la disponibilidad de los hábitats ? los parches que quedan con frecuencia están aislados y son poco recomendables. Los incendios más intensos cambian múltiples aspectos de la estructura vegetal y el suelo se verá expuesto, lo que llevará a mayores tasas de erosión. Sin embargo, los incendios son un régimen de gestión ampliamente usado y la restauración de la vegetación posterior al incendio puede muchas veces llevar a incrementos en la disponibilidad y calidad de los hábitats; por ejemplo, mediante la reducción de la hojarasca y vegetación muerta. Los incendios juegan un papel en mantener una diversidad de hábitats que brindan apoyo a las especies.",Habrá una reducción en el material de fibra de origen vegetal posterior al incendio y durante el periodo de recuperación.,"Los desbalances en el ciclo de incendios causados por clima extremo, tales como la sequía, pueden provocar incendios graves que afectan la provisión de fibra y otros materiales de origen vegetal.",Variación natural ,Largo plazo ,Global
Fibras y otros materiales,Hábitats,Inundaciones,R,"Los hábitats de agua dulce son altamente susceptibles a las inundaciones a través del cambio geomorfológico y la introducción de especies invasoras. En consecuencia, se espera que habrá un cambio negativo en el hábitat debido a una mayor frecuencia de inundaciones. Los casos de inundación han incrementado en intensidad y duración desde los inicios de 2000 y se espera que aumentarán en el futuro con una mayor frecuencia impactando directamente en los hábitats.","Las temperaturas crecientes impulsadas por el cambio climático, los cambios en los patrones de lluvia y un aumento en los eventos climáticos extremos amenazan la producción agrícola de forraje.","Los modelos sugieren riesgos sustanciales al  volumen, la volatilidad y la calidad de las cadenas de suministro de alimentación para animales, a pesar de algunos incrementos en la productividad.",Acción humana,Largo plazo,Global
Fibras y otros materiales,Hábitats,Inundaciones,R,"Los hábitats de agua dulce son altamente susceptibles a las inundaciones a través del cambio geomorfológico y la introducción de especies invasoras. En consecuencia, se espera que habrá un cambio negativo en el hábitat debido a una mayor frecuencia de inundaciones. Los casos de inundación han incrementado en intensidad y duración desde los primeros años de 2000 y se espera que aumentarán en el futuro con una mayor frecuencia impactando directamente en los hábitats.","Las temperaturas crecientes y los patrones de lluvia cambiantes crean el riesgo de una mala cosecha, por ejemplo, la ola de calor rusa en 2010 y la sequía del Medio Oeste de los EE.UU. en 2012.","Producciones decrecientes de cereales, lo que contribuye a mayores precios de los alimentos y una demanda mayor que la oferta.",Acción humana,Largo plazo ,Global
Fibras y otros materiales,Especies,Inundaciones,A,"Las inundaciones impactan directamente a las especies a nivel tanto poblacional como individual. Los impactos son variables entre las especies, y las especies más susceptibles a los eventos de inundación son las especies acuáticas de agua dulce, sedentarias, de raíces superficiales y excavadoras de suelo. Los casos de inundación han aumentado en intensidad y duración desde  los primeros años de 2000 y se espera que aumentarán en el futuro con mayor frecuencia.","Las temperaturas crecientes impulsadas por el cambio climático, los cambios en los patrones de lluvia y un aumento en los eventos climáticos extremos amenazan la producción agrícola de forraje.","Los modelos sugieren riesgos sustanciales al  volumen, la volatilidad y la calidad de las cadenas de suministro de alimentación para animales, a pesar de algunos incrementos en la productividad.",Acción humana,Largo plazo ,Global
Fibras y otros materiales,Especies,Inundaciones ,A,"Las inundaciones impactan directamente a las especies a nivel tanto poblacional como individual. Los impactos son variables entre las especies, y las especies más susceptibles a los eventos de inundación son las especies acuáticas de agua dulce, sedentarias, de raíces superficiales y excavadoras de suelo. Los casos de inundación han aumentado en intensidad y duración desde los primeros años de 2000 y se espera que aumentarán en el futuro con mayor frecuencia.","Las temperaturas crecientes y los patrones de lluvia cambiantes crean el riesgo de una mala cosecha, por ejemplo, la ola de calor rusa en 2010 y la sequía del Medio Oeste de los EE.UU. en 2012.","Producciones decrecientes de cereales, lo que contribuye a mayores precios de los alimentos y una demanda mayor que la oferta.",Acción humana,Largo plazo ,Global
Fibras y otros materiales,Hábitats,Modificación del hábitat ,R,"La modificación de hábitats impacta directamente a los hábitats: altera los paisajes y comunidades mediante la reducción de los tamaños de las poblaciones y fragmenta los rangos mediante la imposición de barreras físicas o biológicas a la dispersión. Sin embargo, los hábitats varían en resiliencia, por lo que los impactos difieren.",Mayor turbidez del agua (por la carga de sedimentos) lleva a una menor disponibilidad de luz para la fotosíntesis.,Hubo una pérdida de algas formadoras de copas (hasta 70 %) en partes de la costa metropolitana de Adelaida desde su gran urbanización.,Acción humana,Largo plazo,Ecosistemas costeros
Fibras y otros materiales,Hábitats,Modificación del hábitat ,R,"La modificación de hábitats impacta directamente a los hábitats: altera los paisajes y comunidades mediante la reducción de los tamaños de las poblaciones y fragmenta los rangos mediante la imposición de barreras físicas o biológicas a la dispersión. Sin embargo, los hábitats varían en resiliencia, por lo que los impactos difieren.",La transición de hábitat costero natural a artificial cambia drásticamente la diversidad de las especies mientras que la abundancia global de las especies permanece igual. ,"Los cambios en la diversidad de las especies alterarán la composición de hábitats y podría introducir efectos no deseados para las algas marinas, tales como el aumento de depredadores o enfermedades. Esto reducirá la cantidad y la calidad de materiales agrícolas obtenidos de las algas.",Acción humana,Mediano plazo ,Global
Fibras y otros materiales,Hábitats,Modificación del hábitat ,R,"La modificación de hábitats impacta directamente a los hábitats: altera los paisajes y comunidades mediante la reducción de los tamaños de las poblaciones y fragmenta los rangos mediante la imposición de barreras físicas o biológicas a la dispersión. Sin embargo, los hábitats varían en resiliencia, por lo que los impactos difieren.",El suministro de madera para celulosa y ceniza de madera está disminuyendo como resultado de la desforestación y tala insostenible.,Las plantaciones de árboles maderables se expanden hacia los bosques naturales. Los modelos sugieren la deforestación sobre la degradación como respuesta a las demandas del mercado que resultan en el agotamiento eventual del suministro.,Acción humana,Corto plazo,Global
Fibras y otros materiales,Hábitats,Modificación del hábitat ,R,"La modificación de hábitats impacta directamente a los hábitats: altera los paisajes y comunidades mediante la reducción de los tamaños de las poblaciones y fragmenta los rangos mediante la imposición de barreras físicas o biológicas a la dispersión. Sin embargo, los hábitats varían en resiliencia, por lo que los impactos difieren.","Hay un fuerte impacto del uso del suelo sobre la composición de las especies. Por ejemplo, los usos del suelo por los humanos y  la vegetación secundaria en una etapa temprana de recuperación no son buenos para retener  las especies que caracterizan a una vegetación prístina (intacta).","Esta pérdida puede impactar la producción de fibra (por ejemplo, algodón) y otras fibras de origen silvestre a medida que el suelo se consume para otros usos.",Acción humana,Corto-mediano plazo ,Global
Fibras y otros materiales,Hábitats,Modificación del hábitat ,R,"La modificación de hábitats impacta directamente a los hábitats: altera los paisajes y comunidades mediante la reducción de los tamaños de las poblaciones y fragmenta los rangos mediante la imposición de barreras físicas o biológicas a la dispersión. Sin embargo, los hábitats varían en resiliencia, por lo que los impactos difieren.","Hay un fuerte impacto del uso del suelo sobre la composición de las especies. Por ejemplo, los usos del suelo por los humanos y  la vegetación secundaria en una etapa temprana de recuperación no son buenos para retener  las especies que caracterizan a una vegetación prístina (intacta).",Esta pérdida puede impactar la producción de material de origen animal y a medida que la tierra agrícola se consume para otros usos.,Acción humana,Corto-mediano plazo ,Global
Fibras y otros materiales,Especies,Modificación del hábitat ,R,"La degradación de la calidad o cantidad de hábitats puede reducir el tamaño de las poblaciones y las tasas de crecimiento, y aumentar el velocidad de los eventos de extinción locales.",La transición de hábitat costero natural a artificial cambia drásticamente la diversidad de las especies mientras que la abundancia global de las especies permanece igual.,"Los cambios en la diversidad de las especies alterarán la composición de hábitats y podrían introducir efectos no deseados para las algas marinas, tales como el aumento de depredadores o enfermedades. ",Acción humana,Mediano plazo ,Global
Fibras y otros materiales,Especies,Modificación del hábitat ,R,"La degradación de la calidad o cantidad de hábitats puede reducir el tamaño de las poblaciones y las tasas de crecimiento, y aumentar el cambio de los eventos de extinción locales.",La transición de hábitat costero natural a artificial cambia drásticamente la diversidad de las especies mientras que la abundancia global de las especies permanece igual.,"Los cambios en la diversidad de las especies alterarán la composición de hábitats y podrían introducir efectos no deseados para las algas marinas, tales como el aumento de depredadores o enfermedades. Esto reducirá la cantidad y la calidad de materiales agrícolas obtenidos de las algas.",Acción humana,Mediano plazo,Global
Fibras y otros materiales,Especies,Modificación del hábitat ,R,"La degradación de la calidad o cantidad de hábitats puede reducir el tamaño de las poblaciones y las tasas de crecimiento, y aumentar el cambio de los eventos de extinción locales.",El suministro de madera para celulosa y ceniza de madera está disminuyendo como resultado de la desforestación y tala insostenible.,Las plantaciones de árboles maderables se expanden hacia los bosques naturales. Los modelos sugieren la deforestación sobre la degradación como respuesta a las demandas del mercado que resultan en el agotamiento eventual del suministro.,Acción humana,Corto plazo,Global
Fibras y otros materiales,Especies,Modificación del hábitat ,R,"La degradación de la calidad o cantidad de hábitats puede reducir el tamaño de las poblaciones y las tasas de crecimiento, y aumentar el cambio de los eventos de extinción locales.","Hay un fuerte impacto del uso del suelo sobre la composición de las especies. Por ejemplo, los usos del suelo por los humanos y la vegetación secundaria en una etapa temprana de recuperación no son buenos para retener  las especies que caracterizan a una vegetación prístina (intacta).","Esta pérdida puede impactar la producción de fibra (por ejemplo, algodón) y otras fibras de origen silvestre a medida que el suelo se consume para otros usos.",Acción humana,Corto-mediano plazo,Global
Fibras y otros materiales,Especies,Modificación del hábitat ,R,"La degradación de la calidad o cantidad de hábitats puede reducir el tamaño de las poblaciones y las tasas de crecimiento, y aumentar el cambio de los eventos de extinción locales.","Hay un fuerte impacto del uso del suelo sobre la composición de las especies. Por ejemplo, los usos del suelo por los humanos y la vegetación secundaria en una etapa temprana de recuperación no son buenos para retener  las especies que caracterizan a una vegetación prístina (intacta).",Esta pérdida puede impactar la producción de material de origen animal y a medida que la tierra agrícola se consume para otros usos.,Acción humana,Corto-mediano plazo,Global
Fibras y otros materiales,Especies,Modificación humana del material genético ,R,"La liberación de organismos genéticamente modificados en el hábitat natural puede causar cambios en la composición de las especies. A pesar de los extensos estudios sobre el tema hay incertidumbre sobre el impacto en las especies naturales, sin embargo, muchos creen que la tecnología causará impactos negativos en la estabilidad de las poblaciones de las especies. La modificación genética por humanos de los organismos comerciales ha venido aumentando en las últimas dos décadas y se pronostica que continuará.",Las algas cultivadas (de granjas acuícolas) vertidas en los ecosistemas naturales introducen mutaciones genéticas y destruyen las especies de algas nativas en los sistemas acuáticos.,El servicio se verá  comprometido en el largo plazo por la introducción de uniformidad y mutaciones genéticas.,Acción humana,Largo  plazo ,Entornos acuáticos 
Fibras y otros materiales,Especies,Agricultura y acuicultura intensivas,R,"Las actividades agrícolas, tales como labranza, drenaje, cultivo intercalado, rotación, pastoreo y uso extensivo de plaguicidas y fertilizantes tienen implicancias significativas para las especies silvestres. La acuicultura tiene algunos impactos positivos en la biodiversidad ? puede reducir la presión en las poblaciones silvestres sobreexplotadas y aumentar poblaciones mermadas, así como impulsar la producción natural y diversidad de las especies. Sin embargo, las especies que escapan de la acuicultura pueden volverse invasoras en áreas donde no son nativas; los efluentes de acuicultura pueden causar eutrofización; el suelo ecológicamente sensible puede convertirse para uso de acuicultura; las especies de acuicultura pueden consumir harina de pescado escasa; y la acuicultura puede transmitir enfermedades a peces silvestres. Generalmente se espera que las especies empeoren en el corto plazo.",Mayor turbidez del agua (por la carga de sedimentos) lleva a una menor disponibilidad de luz para fotosíntesis.,Hubo una pérdida de algas formadoras de copas (hasta 70 %) en partes de la costa metropolitana de Adelaida desde su gran urbanización.,Acción humana,Largo plazo,Ecosistemas costeros
Fibras y otros materiales,Especies,Agricultura y acuicultura intensivas,R,"Las actividades agrícolas, tales como labranza, drenaje, cultivo intercalado, rotación, pastoreo y uso extensivo de plaguicidas y fertilizantes tienen implicancias significativas para las especies silvestres. La acuicultura tiene algunos impactos positivos en la biodiversidad ? puede reducir la presión en las poblaciones silvestres sobreexplotadas y aumentar poblaciones mermadas, así como impulsar la producción natural y diversidad de las especies. Sin embargo, las especies que escapan de la acuicultura pueden volverse invasoras en áreas donde no son nativas; los efluentes de acuicultura pueden causar eutrofización; el suelo ecológicamente sensible puede convertirse para uso de acuicultura; las especies de acuicultura pueden consumir harina de pescado escasa; y la acuicultura puede transmitir enfermedades a peces silvestres. Generalmente se espera que las especies empeoren en el corto plazo.",Producciones de calidad más bajas y pobres de especies vegetales comerciales a medida que las tierras se van quedando sin contenido orgánico y mineral.,El suministro de fibras vegetales disminuye.,Acción humana,Mediano plazo ,Local
Fibras y otros materiales,Especies,Especies invasoras,A,"Las especies invasoras pueden desplazar a las especies indígenas, restructurando comunidades y causando cambios evolutivos. Las especies invasoras pueden, sin embargo, favorecer también a las especies nativas a través de la modificación de los hábitats (al actuar como ingenieros de hábitats), la polinización, la liberación de competidores y la liberación de depredadores.","Las especies, por ejemplo, los erizos de mar, que depredan o actúan como plagas para componentes de alga marina, aumentan en número.",La prestación del servicio no se detiene pero se desacelera debido a la reducción en la calidad y cantidad del activo.,Variación natural ,Largo plazo,Global
Fibras y otros materiales,Especies,Especies invasoras ,A,"Las especies invasoras pueden desplazar a las especies indígenas, restructurando comunidades y causando cambios evolutivos. Las especies invasoras pueden, sin embargo, favorecer también a las especies nativas a través de la modificación de hábitats (al actuar como ingenieros de hábitats), la polinización, la  liberación de competidores y la liberación de depredadores.","Frutos espinosos (frutos que tienen ganchos o dientes) de plantas que dan este tipo de fruto, en vellones de lana contaminados, que requieren operaciones de eliminación más complejas y costosas. El cuero también está en peligro de los moscardones.",El servicio se desaceleró y es más costoso en el estado de procesamiento del vellón o cuero.,Variación natural ,Corto plazo,Global
Fibras y otros materiales,Especies,Sobrepesca ,A,"La sobrepesca tiene efectos directos e indirectos en la diversidad, la estructura y la productividad de las comunidades acuáticas. Algunas especies pueden ser más resilientes a la sobrepesca que otras, y esto depende del tamaño de la especie, la intensidad de la pesca, la estrategia de los ciclos biológicos, el tamaño de hábitat y la ubicación. La sobreexplotación también puede tener efectos imprevistos sobre la biodiversidad a través de las interacciones complejas entre las especies en un ecosistema ? tanto positivos como negativos.",Recursos marinos (harina de pescado y aceite de pescado en el uso de alimentos para acuicultura) potencialmente agotados por uso excesivo y suministro insuficiente.,Peces mal alimentados en granjas acuícolas.,Acción humana,Largo plazo ,Global
Fibras y otros materiales,Especies,Sobreexplotación ,A,"La sobreexplotación tiene impactos significativos sobre la  biodiversidad tanto a través de la remoción directa de algunas especies como a través de efectos indirectos,  tales como menor fertilidad del suelo y la degradación de los hábitats.","La sobreexplotación ilegal causa reducciones de poblaciones de especies de animales silvestres, por ejemplo, 95% de los encuestados de un estudio en Madagascar han comido por lo menos una especie animal de bosque protegido (y casi 45% han comido más de 10). La sobreexplotación legal líneas abajo causa reducciones de poblaciones de especies de animales silvestres, pero el comercio regulado causa cambios menos extremos de las poblaciones de especies silvestres.",Menor abundancia y diversidad de especies ,Acción humana,Corto plazo,Global
Fibras y otros materiales,Especies,Sobreexplotación,A,"La sobreexplotación tiene impactos significativos sobre la biodiversidad tanto a través de la remoción directa de algunas especies como a través de efectos indirectos, tales como menor fertilidad del suelo y la degradación de los hábitats.","Uso general insostenible por muchas razones, incluido el comercio ilegal de materiales vegetales / fibra (madera de alto valor, por ejemplo)",El suministro de fibras vegetales disminuye,Acción humana,Corto plazo,Local
Fibras y otros materiales,Especies,Plagas,A,"Las plagas pueden causar cambios a las dinámicas de las especies. Las plagas de insectos pueden atacar a las plantas ? lo que retrasa la maduración de las semillas, reduce la producción y pesos individuales de las semillas, reduce las tasas de crecimiento de los brotes y raíces, aumenta la susceptibilidad de las plantas a enfermedades y reduce la capacidad competitiva de las plantas con relación a sus vecinos no atacados. Las plagas de vertebrados también pueden generar enormes pérdidas económicas a la agricultura. ","Las especies, por ejemplo, los erizos de mar, que depredan o actúan como plagas para componentes de alga marina aumentan en número.",La prestación del servicio no se detiene pero se desacelera debido a la reducción en la calidad y cantidad del activo.,Variación natural,Largo plazo,Global
Fibras y otros materiales,Especies,Plagas,A,"Las plagas pueden causar cambios a las dinámicas de las especies. Las plagas de insectos pueden atacar a las plantas ? lo que retrasa la maduración de las semillas, reduce la producción y pesos individuales de las semillas, reduce las tasas de crecimiento de los brotes y raíces, aumenta la susceptibilidad de las plantas a enfermedades y reduce la capacidad competitiva de las plantas con relación a sus vecinos no atacados. Las plagas de vertebrados también pueden causar enormes pérdidas económicas a la agricultura.",La celulosa es consumida por las larvas de los escarabajos lo que causa daños graves a las maderas estructurales o maderas en pie.,El aumento de plagas (escarabajo xilófago) asociados con altos niveles de humedad y altas temperaturas causa una disminución de la celulosa en la madera blanda de climas templados.,Variación natural,Corto plazo,Local
Fibras y otros materiales,Hábitats,Contaminación ,A,"La contaminación puede causar cambios físicos y químicos en los hábitats, que reduce la capacidad de aprovisionamiento y, en consecuencia, impacta a las especies. Los hábitats tienen la capacidad de recuperarse de los impactos de la contaminación si no están tan sobrecargados con contaminantes irreversibles, siendo importantes tanto el tipo de contaminación como el nivel de carga. Algunos hábitats son más resilientes a los efectos de la contaminación ? la relación normalmente está determinada por el contexto y depende del hábitat, pero también del tipo de contaminante.",El exceso de cargas nutricionales y la luz solar causan desbalances en las concentraciones de microalgas. Las toxinas dañinas producidas por el florecimiento matan las cianobacterias beneficiosas.,Cualquier servicio proveniente de las algas disminuirá o se detendrá.,Acción humana,Corto plazo,Global
Fibras y otros materiales,Especies,Contaminación,A,"La contaminación es perjudicial para la salud de las especies. La deposición atmosférica de nitrógeno reactivo, por ejemplo, tiene el potencial de reducir la abundancia de especies vegetales, al favorecer especies mejor adaptadas a niveles altos de nutrientes. Los impactos de la contaminación sobre las especies varían por ubicación y otros parámetros externos.",El exceso de cargas nutricionales y la luz solar causan desbalances en las concentraciones de microalgas. Las toxinas dañinas producidas por el florecimiento matan las cianobacterias beneficiosas.,Cualquier servicio proveniente de las algas disminuirá o se detendrá.,Acción humana,Corto plazo,Global
Fibras y otros materiales,Especies,Cambios en la población ,A,"Los cambios en la población de una especie pueden afectar la dinámica e interacciones de otras especies en las comunidades ecológicas. La susceptibilidad de las especies al cambio puede variar - por ejemplo, algunas especies son más resilientes a los cambios en la dinámica poblacional que otras. Estas relaciones usualmente se describen a través de modelos, por lo que existe un grado de incertidumbre.","Las especies, por ejemplo, los erizos de mar, que depredan o actúan como plagas para componentes de alga marina aumentan en número.",La prestación del servicio no se detiene pero se desacelera debido a la reducción en la calidad y cantidad del activo.,Variación natural ,Largo plazo,Global
Fibras y otros materiales,Hábitats,Temperatura de la superficie del mar,A,"Los hábitats marinos de aguas cálidas exhibirán un desplazamiento hacia los polos con temperaturas crecientes de la superficie del mar mientras que los hábitats terrestres serán impactados negativamente por mayores eventos climáticos extremos que se encuentran vinculados a temperaturas de la superficie del mar (por ejemplo, eventos de El Niño).",Los tejidos esponjosos cíclicos y fatalmente blanqueados tienen menores concentraciones de clorofila que los tejidos no blanqueados.,"Trozos de esponja incubados a 30°C en un laboratorio muestran mortalidad después de menos de 15 horas, con impactos en la provisión de compuestos medicinales.",Acción humana,Mediano plazo ,Ecosistemas de arrecifes coralinos de aguas cálidas 
Fibras y otros materiales,Especies,Temperatura de la superficie del mar,R,"Las temperaturas crecientes de la superficie del mar pueden tener efectos devastadores en las especies, tales como los corales de aguas poco profundas que experimentan blanqueo o incluso muerte debido a incrementos de temperatura. La destrucción de los arrecifes coralinos, a su vez, tiene un amplio impacto en una vasta variedad de especies. Además, los cambios de temperaturas de la superficie del mar pueden alterar las condiciones climáticas que impactan en las especies terrestres y marinas a nivel global mediante procesos destructivos (sequías,  huracanes, etc.), que alteran los rangos de hábitat y el desplazamiento de nichos ecológicos.",Los tejidos esponjosos cíclicos y fatalmente blanqueados tienen menores concentraciones de clorofila que los tejidos no blanqueados.,"Trozos de esponja incubados a 30°C en un laboratorio muestran mortalidad luego de menos de 15 horas, con impactos en la provisión de compuestos medicinales.",Acción humana,Mediano plazo ,Ecosistemas de arrecifes coralinos de aguas cálidas 
Fibras y otros materiales,Hábitats,Tormentas,R,"Las tormentas pueden tener impactos negativos fuertes en determinados tipos de hábitats, tales como los arrecifes coralinos poco profundos. Se espera que la intensidad y la frecuencia de las tormentas aumentarán en los próximos 100 años, con tormentas tropicales previstas de aumentar en intensidad entre 2% y 11%. Sin embargo, hay un alto nivel de variabilidad en las respuestas de hábitats a las tormentas.",El material detrítico producido por las tormentas causó la erosión anual de dos especies de alga marina de entre 0.5kg y 1.7 kg de peso seco por m2. La tasa de erosión estuvo positivamente relacionada con la temperatura del agua y exposición del sitio.,Mayor erosión de hojas de alga marina por tormentas. Una mayor frecuencia de tormentas llevará a la remoción del componente de alga marina y reducción de la biomasa global en pie.,Acción humana,Largo plazo ,Bosques de algas marinas en sistemas de latitudes medias 
Fibras y otros materiales,Hábitats,Tormentas,R,"Las tormentas pueden tener impactos negativos fuertes en determinados tipos de hábitats, tales como los arrecifes coralinos poco profundos. Se espera que la intensidad y la frecuencia de las tormentas aumentarán en los próximos 100 años con tormentas tropicales previstas de aumentar en intensidad entre 2% y 11%. Sin embargo, hay un alto nivel de variabilidad en las respuestas de hábitats a las tormentas.","Mayor erosión de hojas de alga marina debido a mayor frecuencia de tormentas, relacionada con el cambio climático global.",Mayor destrucción a través de la ruptura mecánica del componente de alga marina y reducción de la biomasa global en pie. El material detrítico producido por las tormentas causó la erosión anual de dos especies de alga marina de entre 0.5kg y 1.7 kg de peso seco por m2. La tasa de erosión estuvo positivamente relacionada con la temperatura del agua y exposición del sitio.,Acción humana,Largo plazo ,Bosques de algas marinas en sistemas de latitudes medias 
Fibras y otros materiales,Especies,Tormentas,A,"Las tormentas causan vientos fuertes y mayor precipitación que pueden someter a las especies a cambios de hábitats biogénicos, destrucción de nidos, introducción de especies invasoras e intrusión de agua salada, con impacto negativo en la supervivencia de especies en contextos de eventos localizados. Se pronostica que la frecuencia e intensidad de las tormentas continuarán de acuerdo con las tendencias del cambio climático actuales. Las especies que son altamente susceptibles son aquellas que no pueden refugiarse del viento de manera efectiva, son vulnerables a inundaciones, son sujetas al desplazamiento de hábitats (por ejemplo, surcos de dunas de arena), y las especies migratorias.",El material detrítico producido por las tormentas causó la erosión anual de dos especies de alga marina entre 0.5kg y 1.7 kg de peso seco por m2. La tasa de erosión estuvo positivamente relacionada con la temperatura del agua y exposición del sitio.,Mayor erosión de hojas de alga marina por tormentas. Una mayor frecuencia de tormentas llevará a la remoción del componente de alga marina y la reducción de la biomasa global en pie.,Acción humana,Largo plazo ,Bosques de algas marinas en sistemas de latitudes medias 
Fibras y otros materiales,Especies,Tormentas,A,"Las tormentas causan vientos fuertes y mayor precipitación que pueden someter a las especies a cambios de hábitats biogénicos, destrucción de nidos, introducción de especies invasoras e intrusión de agua salada, con impacto negativo en la supervivencia de especies en contextos de eventos localizados. Se pronostica que la frecuencia e intensidad de tormentas continuarán de acuerdo con las tendencias del cambio climático actuales. Las especies que son altamente susceptibles son aquellas que no pueden refugiarse del viento de manera efectiva, son vulnerables a inundaciones, son sujetas al desplazamiento de hábitats (por ejemplo, surcos de dunas de arena), y las especies migratorias.","Mayor erosión de hojas de alga marina debido a mayor frecuencia de tormentas, relacionada con el cambio climático global.",Mayor destrucción a través de la ruptura mecánica del componente de alga marina y reducción de la biomasa global en pie. El material detrítico producido por las tormentas causó la erosión anual de dos especies de alga marina de entre 0.5kg y 1.7 kg de peso seco por m2. La tasa de erosión estuvo positivamente relacionada con la temperatura del agua y exposición del sitio.,Acción humana,Largo plazo ,Bosques de algas marinas en sistemas de latitudes medias 
Fibras y otros materiales,Hábitats,Condiciones climáticas ,R,"Las condiciones climáticas afectan a los hábitats en varias formas. El aumento de temperatura ha provocado, por ejemplo, cambios en la composición vegetal, mientras que los eventos climáticos extremos han afectado a los hábitats a nivel global. Por lo tanto, se espera que las alteraciones de hábitats existentes aumentarán en los próximos 100 años con incrementos de temperatura y cambios de condiciones climáticas previstos.","Las temperaturas crecientes impulsadas por el cambio climático, los cambios en los patrones de lluvia y un aumento en los eventos climáticos extremos amenazan la producción agrícola de forraje.","Los modelos sugieren riesgos sustanciales al volumen, la volatilidad y la calidad de las cadenas de suministro de alimentación para animales, a pesar de algunos incrementos en la productividad.",Acción humana,Largo plazo,Global
Fibras y otros materiales,Hábitats,Condiciones climáticas ,R,"Las condiciones climáticas afectan a los hábitats en varias formas. El aumento de temperatura ha provocado, por ejemplo, cambios en la composición vegetal, mientras que los eventos climáticos extremos han afectado a los hábitats a nivel global. Por lo tanto, se espera que las alteraciones de hábitats existentes aumentarán en los próximos 100 años con incrementos de temperatura y cambios de  condiciones climáticas previstos.","Las temperaturas crecientes y los patrones de lluvia cambiantes crean el riesgo de una mala cosecha, por ejemplo, la ola de calor rusa en 2010 y la sequía del Medio Oeste de los EE.UU. en 2012.","Producciones decrecientes de cereales, lo que contribuye a mayores precios de los alimentos y una demanda mayor que la oferta.",Acción humana,Largo plazo,Global
